,date,sent_addresses,difficulty,transactions,block_size,median_transaction_value,send_usd,fee_reward,active_addresses,hashrate,confirmation_time,av_transaction_value,av_transaction_size,median_transaction_size,google_trends,market_cap,mining_profitability,tweets,top_100_percent,full_name,coin
75,2009/03/25,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
76,2009/03/26,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
77,2009/03/27,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
78,2009/03/28,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
79,2009/03/29,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
80,2009/03/30,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
81,2009/03/31,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
82,2009/04/01,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
83,2009/04/02,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
84,2009/04/03,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
85,2009/04/04,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
86,2009/04/05,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
87,2009/04/06,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
88,2009/04/07,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
89,2009/04/08,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
90,2009/04/09,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
91,2009/04/10,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
92,2009/04/11,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
93,2009/04/12,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
94,2009/04/13,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
95,2009/04/14,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
96,2009/04/15,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
97,2009/04/16,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
98,2009/04/17,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
99,2009/04/18,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
100,2009/04/19,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
101,2009/04/20,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
102,2009/04/21,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
103,2009/04/22,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
104,2009/04/23,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
105,2009/04/24,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
106,2009/04/25,,,,,,,,,,,,,,,,,,,cloakcoin,cloakcoin
