,date,transactions,block_size,active_addresses,av_transaction_size,confirmation_time,difficulty,sent_addresses,median_transaction_size,median_transaction_value,av_transaction_value,send_usd,google_trends,hashrate,fee_reward,top_100_percent,mining_profitability,market_cap,tweets,full_name,coin
72,2009/03/16,,,,,,,,,,,,,,,,,,,elacoin,elacoin
73,2009/03/17,,,,,,,,,,,,,,,,,,,elacoin,elacoin
74,2009/03/18,,,,,,,,,,,,,,,,,,,elacoin,elacoin
75,2009/03/19,,,,,,,,,,,,,,,,,,,elacoin,elacoin
76,2009/03/20,,,,,,,,,,,,,,,,,,,elacoin,elacoin
77,2009/03/21,,,,,,,,,,,,,,,,,,,elacoin,elacoin
78,2009/03/22,,,,,,,,,,,,,,,,,,,elacoin,elacoin
79,2009/03/23,,,,,,,,,,,,,,,,,,,elacoin,elacoin
80,2009/03/24,,,,,,,,,,,,,,,,,,,elacoin,elacoin
81,2009/03/25,,,,,,,,,,,,,,,,,,,elacoin,elacoin
82,2009/03/26,,,,,,,,,,,,,,,,,,,elacoin,elacoin
83,2009/03/27,,,,,,,,,,,,,,,,,,,elacoin,elacoin
84,2009/03/28,,,,,,,,,,,,,,,,,,,elacoin,elacoin
85,2009/03/29,,,,,,,,,,,,,,,,,,,elacoin,elacoin
86,2009/03/30,,,,,,,,,,,,,,,,,,,elacoin,elacoin
87,2009/03/31,,,,,,,,,,,,,,,,,,,elacoin,elacoin
88,2009/04/01,,,,,,,,,,,,,,,,,,,elacoin,elacoin
89,2009/04/02,,,,,,,,,,,,,,,,,,,elacoin,elacoin
90,2009/04/03,,,,,,,,,,,,,,,,,,,elacoin,elacoin
91,2009/04/04,,,,,,,,,,,,,,,,,,,elacoin,elacoin
92,2009/04/05,,,,,,,,,,,,,,,,,,,elacoin,elacoin
93,2009/04/06,,,,,,,,,,,,,,,,,,,elacoin,elacoin
94,2009/04/07,,,,,,,,,,,,,,,,,,,elacoin,elacoin
95,2009/04/08,,,,,,,,,,,,,,,,,,,elacoin,elacoin
96,2009/04/09,,,,,,,,,,,,,,,,,,,elacoin,elacoin
97,2009/04/10,,,,,,,,,,,,,,,,,,,elacoin,elacoin
98,2009/04/11,,,,,,,,,,,,,,,,,,,elacoin,elacoin
99,2009/04/12,,,,,,,,,,,,,,,,,,,elacoin,elacoin
100,2009/04/13,,,,,,,,,,,,,,,,,,,elacoin,elacoin
101,2009/04/14,,,,,,,,,,,,,,,,,,,elacoin,elacoin
102,2009/04/15,,,,,,,,,,,,,,,,,,,elacoin,elacoin
103,2009/04/16,,,,,,,,,,,,,,,,,,,elacoin,elacoin
104,2009/04/17,,,,,,,,,,,,,,,,,,,elacoin,elacoin
105,2009/04/18,,,,,,,,,,,,,,,,,,,elacoin,elacoin
106,2009/04/19,,,,,,,,,,,,,,,,,,,elacoin,elacoin
107,2009/04/20,,,,,,,,,,,,,,,,,,,elacoin,elacoin
