,date,transactions,difficulty,top_100_percent,av_transaction_value,median_transaction_value,send_usd,confirmation_time,sent_addresses,google_trends,market_cap,active_addresses,hashrate,median_transaction_size,fee_reward,block_size,mining_profitability,av_transaction_size,tweets,full_name,coin
68,2009/03/12,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
69,2009/03/13,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
70,2009/03/14,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
71,2009/03/15,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
72,2009/03/16,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
73,2009/03/17,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
74,2009/03/18,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
75,2009/03/19,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
76,2009/03/20,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
77,2009/03/21,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
78,2009/03/22,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
79,2009/03/23,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
80,2009/03/24,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
81,2009/03/25,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
82,2009/03/26,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
83,2009/03/27,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
84,2009/03/28,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
85,2009/03/29,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
86,2009/03/30,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
87,2009/03/31,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
88,2009/04/01,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
89,2009/04/02,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
90,2009/04/03,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
