,mining_profitability,date,tweets,confirmation_time,av_transaction_size,send_usd,median_transaction_value,block_size,hashrate,sent_addresses,difficulty,av_transaction_value,top_100_percent,google_trends,active_addresses,median_transaction_size,market_cap,fee_reward,transactions,full_name,coin
73,,2014/12/26,1,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
74,,2014/12/27,3,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
75,,2014/12/28,null,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
76,,2014/12/29,null,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
77,,2014/12/30,null,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
78,,2014/12/31,1,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
79,,2015/01/01,null,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
80,,2015/01/02,null,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
81,,2015/01/03,null,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
82,,2015/01/04,1,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
83,,2015/01/05,2,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
84,,2015/01/06,1,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
85,,2015/01/07,2,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
86,,2015/01/08,null,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
87,,2015/01/09,null,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
88,,2015/01/10,3,,,,,,,,,,,,,,,,,ghostcoin,ghostcoin
89,,2014/10/13,,,,,,,,,,,,,,,44504,,,ghostcoin,ghostcoin
