,date,transactions,hashrate,sent_addresses,difficulty,send_usd,mining_profitability,av_transaction_size,av_transaction_value,median_transaction_size,google_trends,median_transaction_value,top_100_percent,block_size,fee_reward,active_addresses,tweets,confirmation_time,market_cap,full_name,coin
46,2017/12/28,4054,55152030,5236,3872837,28876720,,,7123,,,273.096,,16608,,12978,,9.29,4162574920,bitcoin gold,btg
47,2017/12/29,4268,49674666,5463,3443512,30707955,,,7195,,,481.839,,21996,,14620,,9.536,4301878505,bitcoin gold,btg
48,2017/12/30,3911,60893013,5404,4253492,36647126,,,9370,,,303.278,,20002,,13260,,9.863,3927444365,bitcoin gold,btg
49,2017/12/31,3364,48788219,4787,3596181,20481231,,,6088,,,268.565,,17711,,11856,,10.213,3945916494,bitcoin gold,btg
50,2018/01/01,3395,51605583,4884,3646756,44347053,,,13062,,,379.558,,20834,,11517,,9.73,4064896668,bitcoin gold,btg
51,2018/01/02,4094,48162564,5637,3514714,45136898,,,11025,,,404.412,,23746,,14135,,9.664,4124613132,bitcoin gold,btg
52,2018/01/03,4583,45387518,6052,3311218,49563022,,,10815,,,376.006,,28939,,13763,,10.141,4168033351,bitcoin gold,btg
53,2018/01/04,4702,46425283,6727,3223670,44470443,,,9458,,,394.812,,23102,,15596,,9.351,3984051404,bitcoin gold,btg
54,2018/01/05,4049,47092705,5816,3322821,51880749,,,12813,,,428.178,,24194,,13507,,10.36,4004172122,bitcoin gold,btg
55,2018/01/06,4196,43028868,6271,3012103,43691906,,,10413,,,452.308,,19735,,12998,,9.474,4097079894,bitcoin gold,btg
56,2018/01/07,4139,39444960,6466,2838878,220302537,,,53226,,,513.578,,33841,,16608,,10.213,4323485824,bitcoin gold,btg
57,2018/01/08,3921,42809494,6666,2750078,133369305,,,34014,,,433.565,,18089,,12981,76,8.229,4036613958,bitcoin gold,btg
58,2018/01/09,3887,43217695,6528,2949752,162533415,,,41815,,,488.93,,21332,,12408,260,9.863,4116880099,bitcoin gold,btg
59,2018/01/10,3503,34222031,5920,2478546,90126762,,,25728,,,469.853,,17779,,10907,127,9.29,3956676230,bitcoin gold,btg
60,2018/01/11,3523,41004150,5781,2751250,35349403,,,10034,,,381.245,,17911,,12103,245,9.351,3724535671,bitcoin gold,btg
61,2018/01/12,3153,38192982,4962,2558641,38252151,,,12132,,,266.752,,16638,,9686,194,9.931,3713097988,bitcoin gold,btg
62,2018/01/13,6830,40413664,9635,2655402,247304526,,,36209,,,742.162,,41346,,18732,392,8.182,4717025285,bitcoin gold,btg
63,2018/01/14,5876,49534514,8415,3226343,116644327,,,19851,,,662.154,,39989,,18380,377,8.889,5316801495,bitcoin gold,btg
64,2018/01/15,4673,51020722,6879,3359391,61119788,,,13079,,,685.95,,63804,,19610,660,9.664,4942127899,bitcoin gold,btg
65,2018/01/16,3864,45416052,5824,3234171,39509222,,,10225,,,322.924,,17763,,10566,302,9.863,3783630828,bitcoin gold,btg
66,2018/01/17,3167,43095683,5012,2981793,26127546,,,8250,,,601.91,,17328,,10307,201,9.29,3008665859,bitcoin gold,btg
67,2018/01/18,3043,39882127,4629,2717175,24382814,,,8013,,,549.189,,15644,,9512,296,9.29,3366968941,bitcoin gold,btg
68,2018/01/19,4791,46229022,5680,3178114,46632089,,,9733,,,252.304,,42010,,25145,175,10.141,3818029896,bitcoin gold,btg
69,2018/01/20,4363,43540880,5287,2936808,21873213,,,5013,,,230.08,,24227,,14445,244,9.057,3843660373,bitcoin gold,btg
70,2018/01/21,3631,42947298,4467,2960195,15399759,,,4241,,,208.168,,16129,,10897,235,8.944,3512966781,bitcoin gold,btg
71,2018/01/22,3644,50381104,4607,3353273,30654254,,,8412,,,277.227,,19460,,10894,110,9.474,3367622414,bitcoin gold,btg
72,2018/01/23,3334,47373080,4437,3262969,33876860,,,10161,,,242.375,,21552,,12276,139,9.6,3165200682,bitcoin gold,btg
73,2018/01/24,4035,45205801,5245,3141942,18605405,,,4611,,,238.544,,21802,,12912,123,9.29,3188509745,bitcoin gold,btg
74,2018/01/25,3532,43949237,4779,3002175,18021110,,,5102,,,238.483,,19754,,11053,145,10.07,3187821032,bitcoin gold,btg
75,2018/01/26,3282,42254038,4613,3047752,20403318,,,6217,,,242.287,,17501,,11752,105,9.114,3059274691,bitcoin gold,btg
76,2018/01/27,2905,45491069,4075,3033699,13009450,,,4478,,,275.388,,16913,,11171,63,9.351,3065834276,bitcoin gold,btg
77,2018/01/28,3303,43345601,4218,2962574,20225253,,,6123,,,297.657,,15605,,9703,90,9.474,3257100149,bitcoin gold,btg
78,2018/01/29,3032,46523789,4256,3072448,19144525,,,6314,,,332.572,,42017,,13439,78,9.412,3139111132,bitcoin gold,btg
79,2018/01/30,2968,47895140,4067,3239592,25605609,,,8627,,,434.614,,14094,,9085,85,9.931,2946347696,bitcoin gold,btg
80,2018/01/31,2764,46157133,4100,3047585,21511556,,,7783,,,407.172,,13066,,9463,70,8.623,2641436985,bitcoin gold,btg
81,2018/02/01,3362,42923600,4456,3063562,20181913,,,6003,,,260.016,,18398,,10203,128,9.796,2457420217,bitcoin gold,btg
82,2018/02/02,2918,39300744,4315,2766795,14160217,,,4853,,,290.424,,16394,,10270,100,9.664,2013563681,bitcoin gold,btg
83,2018/02/03,2298,39319888,3474,2667629,9216918,,,4011,,,270.166,,10449,,7207,70,8.727,2119928817,bitcoin gold,btg
84,2018/02/04,2142,44257214,3275,2842256,8575101,,,4003,,,265.085,,10387,,6660,59,9.057,2052452207,bitcoin gold,btg
85,2018/02/05,2903,41740310,3679,2816968,9267188,,,3192,,,181.999,,13609,,8633,56,9.664,1691847435,bitcoin gold,btg
86,2018/02/06,2499,38838106,3574,2599641,16453045,,,6584,,,258.301,,12228,,8619,58,8.623,1418999892,bitcoin gold,btg
87,2018/02/07,2227,39950519,3090,2727316,17626627,,,7915,,,212.008,,12887,,7169,77,9.931,1647960197,bitcoin gold,btg
88,2018/02/08,2174,37450011,2942,2555051,19046773,,,8761,,,312.734,,10482,,6564,148,8.889,1757206952,bitcoin gold,btg
89,2018/02/09,2883,44221058,3893,2957419,35269026,,,12233,,,464.611,,20067,,9244,102,10.213,2001807632,bitcoin gold,btg
90,2018/02/10,2770,49274666,3838,3348432,42353417,,,15290,,,331.385,,12850,,9027,167,9.114,2047046016,bitcoin gold,btg
91,2018/02/11,1958,40561375,2978,2796511,5877744,,,3015,,,192.195,,32143,,7545,111,9,1904374917,bitcoin gold,btg
92,2018/02/12,2253,42324574,3288,2806138,6300028,,,2796,,,247.745,,9864,,7635,115,8.78,1955100212,bitcoin gold,btg
93,2018/02/13,2219,46171721,3072,2982001,8366052,,,3770,,,291.49,,23993,,10481,48,9.412,1973574780,bitcoin gold,btg
94,2018/02/14,2417,39536513,3607,2796695,9083955,,,3758,,,243.41,,15322,,9321,111,10.511,2133527516,bitcoin gold,btg
95,2018/02/15,2259,41389258,3133,2727247,7242590,,,3206,,,263.529,,10887,,7573,124,8.834,2183348740,bitcoin gold,btg
96,2018/02/16,2390,43750561,3451,2767557,9225817,,,3860,,,261.214,,12889,,7899,84,8.889,2323539606,bitcoin gold,btg
97,2018/02/17,2361,45775735,3170,2795063,6061274,,,2567,,,221.739,,12471,,7596,59,7.461,2388275859,bitcoin gold,btg
98,2018/02/18,2347,47820774,3131,3021725,7175031,,,3057,,,172.775,,10832,,7261,53,8.944,2302918402,bitcoin gold,btg
99,2018/02/19,2175,43083468,3226,2820076,8018704,,,3687,,,217.151,,15030,,7432,55,8.834,2283045110,bitcoin gold,btg
100,2018/02/20,13292,46508061,3753,2852218,102126457,,,7683,,,1.879,,89297,,18789,97,7.956,2314682870,bitcoin gold,btg
101,2018/02/21,1969,51962610,3044,3233265,6746298,,,3426,,,247.046,,12474,,7251,506,9.351,2075137021,bitcoin gold,btg
102,2018/02/22,1886,45508307,2776,3114388,19621928,,,10404,,,232.31,,12331,,6990,313,9.474,1966937566,bitcoin gold,btg
103,2018/02/23,1813,53533182,2758,3429383,5602612,,,3090,,,202.279,,9738,,5784,198,8.834,1988834713,bitcoin gold,btg
104,2018/02/24,1729,49509349,2531,3301227,6316825,,,3653,,,209.75,,11513,,7121,135,9.6,1940112686,bitcoin gold,btg
105,2018/02/25,1794,46269002,2658,3202576,7561103,,,4215,,,251.131,,9012,,5533,81,9.114,1891335711,bitcoin gold,btg
106,2018/02/26,1907,50911585,2898,3367724,7213135,,,3782,,,232.152,,10843,,6732,125,9.796,1913774002,bitcoin gold,btg
107,2018/02/27,2472,45629502,3114,3097653,11542680,,,4669,,,338.936,,18082,,8029,119,8.675,2013410693,bitcoin gold,btg
108,2018/02/28,4140,53438186,2881,3258660,14779056,,,3570,,,27.761,,135742,,32211,173,9.474,1922775978,bitcoin gold,btg
109,2018/03/01,4093,53170350,2830,3315156,10004125,,,2444,,,24.894,,119107,,30853,124,8.324,1908029413,bitcoin gold,btg
110,2018/03/02,4675,54846266,3092,3691982,75152319,,,16075,,,22.368,,160386,,31614,126,10.511,1879402211,bitcoin gold,btg
111,2018/03/03,4618,46540793,3175,3190554,8598940,,,1862,,,19.934,,136424,,32173,null,8.623,1872513353,bitcoin gold,btg
112,2018/03/04,4533,48398826,2997,3081405,4871358,,,1075,,,17.751,,171055,,30647,null,8.324,1828531745,bitcoin gold,btg
113,2018/03/05,4644,47510956,3024,3152392,6468112,,,1393,,,16.93,,153518,,31377,null,9.863,1858556804,bitcoin gold,btg
114,2018/03/06,4335,48856703,2908,3163884,8043480,,,1855,,,15.106,,119441,,31438,null,7.956,1754020352,bitcoin gold,btg
115,2018/03/07,4508,53632304,3033,3300245,7803184,,,1731,,,12.25,,138540,,34511,null,9.231,1621956047,bitcoin gold,btg
116,2018/03/08,3577,47390967,2681,3111025,6619425,,,1851,,,10.171,,104249,,29182,null,9.231,1498097611,bitcoin gold,btg
117,2018/03/09,1901,51924810,2597,3110449,4719079,,,2482,,,264.425,,8231,,6517,null,8,1347066709,bitcoin gold,btg
118,2018/03/10,1700,46697526,2484,2953398,4885570,,,2874,,,249.375,,8440,,5667,null,8.372,1407621329,bitcoin gold,btg
119,2018/03/11,1529,49595247,2315,3173818,3611002,,,2362,,,174.635,,9585,,5097,null,10.286,1359272601,bitcoin gold,btg
120,2018/03/12,1539,45618449,2321,3041712,7226636,,,4696,,,330.837,,8534,,5544,null,9.664,1391269105,bitcoin gold,btg
121,2018/03/13,1604,43781724,2528,2857890,7066170,,,4405,,,205.97,,12983,,6938,null,8.421,1323409820,bitcoin gold,btg
122,2018/03/14,1881,45578244,2674,2841243,40602369,,,21586,,,353.515,,8347,,5856,null,8.09,1256003358,bitcoin gold,btg
123,2018/03/15,2213,44113026,3460,2870687,147008781,,,66430,,,653.445,,11822,,8644,null,8.727,1077864450,bitcoin gold,btg
124,2018/03/16,1928,42874121,2623,2894601,281938254,,,151199,,,325.53,,11051,,6167,null,10,1069142605,bitcoin gold,btg
125,2018/03/17,1752,42233925,2591,2954218,41177346,,,23503,,,327.978,,10438,,6206,null,9.231,1035804241,bitcoin gold,btg
126,2018/03/18,1753,47251688,2394,3281551,15746982,,,8983,,,283.055,,9570,,5204,null,10.992,916414780,bitcoin gold,btg
127,2018/03/19,2228,38542607,3115,2723183,56885777,,,25532,,,206.315,,8968,,6370,null,8.623,998349839,bitcoin gold,btg
128,2018/03/20,2068,43814546,2915,2892242,82323875,,,39808,,,267.125,,11830,,6430,null,8.571,1094539749,bitcoin gold,btg
129,2018/03/21,4433,45144455,3254,2944574,205539057,,,46366,,,6.811,,129301,,28350,null,8.944,1101987799,bitcoin gold,btg
