,av_transaction_size,hashrate,date,difficulty,median_transaction_value,sent_addresses,market_cap,av_transaction_value,transactions,confirmation_time,block_size,top_100_percent,active_addresses,median_transaction_size,google_trends,fee_reward,mining_profitability,tweets,send_usd,full_name,coin
85,,,2009/03/29,,,,,,,,,,,,,,,,,namecoin,nmc
86,,,2009/03/30,,,,,,,,,,,,,,,,,namecoin,nmc
87,,,2009/03/31,,,,,,,,,,,,,,,,,namecoin,nmc
88,,,2009/04/01,,,,,,,,,,,,,,,,,namecoin,nmc
89,,,2009/04/02,,,,,,,,,,,,,,,,,namecoin,nmc
90,,,2009/04/03,,,,,,,,,,,,,,,,,namecoin,nmc
91,,,2009/04/04,,,,,,,,,,,,,,,,,namecoin,nmc
92,,,2009/04/05,,,,,,,,,,,,,,,,,namecoin,nmc
93,,,2009/04/06,,,,,,,,,,,,,,,,,namecoin,nmc
94,,,2009/04/07,,,,,,,,,,,,,,,,,namecoin,nmc
95,,,2009/04/08,,,,,,,,,,,,,,,,,namecoin,nmc
96,,,2009/04/09,,,,,,,,,,,,,,,,,namecoin,nmc
97,,,2009/04/10,,,,,,,,,,,,,,,,,namecoin,nmc
98,,,2009/04/11,,,,,,,,,,,,,,,,,namecoin,nmc
99,,,2009/04/12,,,,,,,,,,,,,,,,,namecoin,nmc
100,,,2009/04/13,,,,,,,,,,,,,,,,,namecoin,nmc
101,,,2009/04/14,,,,,,,,,,,,,,,,,namecoin,nmc
102,,,2009/04/15,,,,,,,,,,,,,,,,,namecoin,nmc
103,,,2009/04/16,,,,,,,,,,,,,,,,,namecoin,nmc
104,,,2009/04/17,,,,,,,,,,,,,,,,,namecoin,nmc
105,,,2009/04/18,,,,,,,,,,,,,,,,,namecoin,nmc
106,,,2009/04/19,,,,,,,,,,,,,,,,,namecoin,nmc
107,,,2009/04/20,,,,,,,,,,,,,,,,,namecoin,nmc
108,,,2009/04/21,,,,,,,,,,,,,,,,,namecoin,nmc
109,,,2009/04/22,,,,,,,,,,,,,,,,,namecoin,nmc
110,,,2009/04/23,,,,,,,,,,,,,,,,,namecoin,nmc
111,,,2009/04/24,,,,,,,,,,,,,,,,,namecoin,nmc
112,,,2009/04/25,,,,,,,,,,,,,,,,,namecoin,nmc
113,,,2009/04/26,,,,,,,,,,,,,,,,,namecoin,nmc
114,,,2009/04/27,,,,,,,,,,,,,,,,,namecoin,nmc
115,,,2009/04/28,,,,,,,,,,,,,,,,,namecoin,nmc
116,,,2009/04/29,,,,,,,,,,,,,,,,,namecoin,nmc
117,,,2009/04/30,,,,,,,,,,,,,,,,,namecoin,nmc
118,,,2009/05/01,,,,,,,,,,,,,,,,,namecoin,nmc
119,,,2009/05/02,,,,,,,,,,,,,,,,,namecoin,nmc
120,,,2009/05/03,,,,,,,,,,,,,,,,,namecoin,nmc
121,,,2009/05/04,,,,,,,,,,,,,,,,,namecoin,nmc
122,,,2009/05/05,,,,,,,,,,,,,,,,,namecoin,nmc
123,,,2009/05/06,,,,,,,,,,,,,,,,,namecoin,nmc
124,,,2009/05/07,,,,,,,,,,,,,,,,,namecoin,nmc
125,,,2009/05/08,,,,,,,,,,,,,,,,,namecoin,nmc
126,,,2009/05/09,,,,,,,,,,,,,,,,,namecoin,nmc
127,,,2009/05/10,,,,,,,,,,,,,,,,,namecoin,nmc
128,,,2009/05/11,,,,,,,,,,,,,,,,,namecoin,nmc
129,,,2009/05/12,,,,,,,,,,,,,,,,,namecoin,nmc
130,,,2009/05/13,,,,,,,,,,,,,,,,,namecoin,nmc
131,,,2009/05/14,,,,,,,,,,,,,,,,,namecoin,nmc
132,,,2009/05/15,,,,,,,,,,,,,,,,,namecoin,nmc
133,,,2009/05/16,,,,,,,,,,,,,,,,,namecoin,nmc
134,,,2009/05/17,,,,,,,,,,,,,,,,,namecoin,nmc
135,,,2009/05/18,,,,,,,,,,,,,,,,,namecoin,nmc
136,,,2009/05/19,,,,,,,,,,,,,,,,,namecoin,nmc
137,,,2009/05/20,,,,,,,,,,,,,,,,,namecoin,nmc
138,,,2009/05/21,,,,,,,,,,,,,,,,,namecoin,nmc
139,,,2009/05/22,,,,,,,,,,,,,,,,,namecoin,nmc
140,,,2009/05/23,,,,,,,,,,,,,,,,,namecoin,nmc
141,,,2009/05/24,,,,,,,,,,,,,,,,,namecoin,nmc
142,,,2009/05/25,,,,,,,,,,,,,,,,,namecoin,nmc
143,,,2009/05/26,,,,,,,,,,,,,,,,,namecoin,nmc
144,,,2009/05/27,,,,,,,,,,,,,,,,,namecoin,nmc
145,,,2009/05/28,,,,,,,,,,,,,,,,,namecoin,nmc
146,,,2009/05/29,,,,,,,,,,,,,,,,,namecoin,nmc
147,,,2009/05/30,,,,,,,,,,,,,,,,,namecoin,nmc
148,,,2009/05/31,,,,,,,,,,,,,,,,,namecoin,nmc
149,,,2009/06/01,,,,,,,,,,,,,,,,,namecoin,nmc
150,,,2009/06/02,,,,,,,,,,,,,,,,,namecoin,nmc
151,,,2009/06/03,,,,,,,,,,,,,,,,,namecoin,nmc
152,,,2009/06/04,,,,,,,,,,,,,,,,,namecoin,nmc
153,,,2009/06/05,,,,,,,,,,,,,,,,,namecoin,nmc
154,,,2009/06/06,,,,,,,,,,,,,,,,,namecoin,nmc
155,,,2009/06/07,,,,,,,,,,,,,,,,,namecoin,nmc
156,,,2009/06/08,,,,,,,,,,,,,,,,,namecoin,nmc
157,,,2009/06/09,,,,,,,,,,,,,,,,,namecoin,nmc
158,,,2009/06/10,,,,,,,,,,,,,,,,,namecoin,nmc
159,,,2009/06/11,,,,,,,,,,,,,,,,,namecoin,nmc
160,,,2009/06/12,,,,,,,,,,,,,,,,,namecoin,nmc
161,,,2009/06/13,,,,,,,,,,,,,,,,,namecoin,nmc
162,,,2009/06/14,,,,,,,,,,,,,,,,,namecoin,nmc
163,,,2009/06/15,,,,,,,,,,,,,,,,,namecoin,nmc
164,,,2009/06/16,,,,,,,,,,,,,,,,,namecoin,nmc
165,,,2009/06/17,,,,,,,,,,,,,,,,,namecoin,nmc
166,,,2009/06/18,,,,,,,,,,,,,,,,,namecoin,nmc
167,,,2009/06/19,,,,,,,,,,,,,,,,,namecoin,nmc
168,,,2009/06/20,,,,,,,,,,,,,,,,,namecoin,nmc
169,,,2009/06/21,,,,,,,,,,,,,,,,,namecoin,nmc
170,,,2009/06/22,,,,,,,,,,,,,,,,,namecoin,nmc
171,,,2009/06/23,,,,,,,,,,,,,,,,,namecoin,nmc
172,,,2009/06/24,,,,,,,,,,,,,,,,,namecoin,nmc
173,,,2009/06/25,,,,,,,,,,,,,,,,,namecoin,nmc
174,,,2009/06/26,,,,,,,,,,,,,,,,,namecoin,nmc
175,,,2009/06/27,,,,,,,,,,,,,,,,,namecoin,nmc
176,,,2009/06/28,,,,,,,,,,,,,,,,,namecoin,nmc
177,,,2009/06/29,,,,,,,,,,,,,,,,,namecoin,nmc
