,date,block_size,av_transaction_size,av_transaction_value,market_cap,top_100_percent,confirmation_time,fee_reward,tweets,median_transaction_value,sent_addresses,hashrate,mining_profitability,transactions,google_trends,active_addresses,difficulty,send_usd,median_transaction_size,full_name,coin
72,2009/03/16,,,,,,,,,,,,,,,,,,,suncoin,suncoin
73,2009/03/17,,,,,,,,,,,,,,,,,,,suncoin,suncoin
74,2009/03/18,,,,,,,,,,,,,,,,,,,suncoin,suncoin
75,2009/03/19,,,,,,,,,,,,,,,,,,,suncoin,suncoin
76,2009/03/20,,,,,,,,,,,,,,,,,,,suncoin,suncoin
77,2009/03/21,,,,,,,,,,,,,,,,,,,suncoin,suncoin
78,2009/03/22,,,,,,,,,,,,,,,,,,,suncoin,suncoin
79,2009/03/23,,,,,,,,,,,,,,,,,,,suncoin,suncoin
80,2009/03/24,,,,,,,,,,,,,,,,,,,suncoin,suncoin
81,2009/03/25,,,,,,,,,,,,,,,,,,,suncoin,suncoin
82,2009/03/26,,,,,,,,,,,,,,,,,,,suncoin,suncoin
83,2009/03/27,,,,,,,,,,,,,,,,,,,suncoin,suncoin
84,2009/03/28,,,,,,,,,,,,,,,,,,,suncoin,suncoin
85,2009/03/29,,,,,,,,,,,,,,,,,,,suncoin,suncoin
86,2009/03/30,,,,,,,,,,,,,,,,,,,suncoin,suncoin
87,2009/03/31,,,,,,,,,,,,,,,,,,,suncoin,suncoin
88,2009/04/01,,,,,,,,,,,,,,,,,,,suncoin,suncoin
89,2009/04/02,,,,,,,,,,,,,,,,,,,suncoin,suncoin
90,2009/04/03,,,,,,,,,,,,,,,,,,,suncoin,suncoin
91,2009/04/04,,,,,,,,,,,,,,,,,,,suncoin,suncoin
92,2009/04/05,,,,,,,,,,,,,,,,,,,suncoin,suncoin
93,2009/04/06,,,,,,,,,,,,,,,,,,,suncoin,suncoin
94,2009/04/07,,,,,,,,,,,,,,,,,,,suncoin,suncoin
95,2009/04/08,,,,,,,,,,,,,,,,,,,suncoin,suncoin
