,date,transactions,median_transaction_size,block_size,av_transaction_size,hashrate,market_cap,av_transaction_value,difficulty,send_usd,median_transaction_value,confirmation_time,mining_profitability,active_addresses,fee_reward,sent_addresses,top_100_percent,google_trends,tweets,full_name,coin
76,2009/03/20,,,,,,,,,,,,,,,,,,,minerals,minerals
77,2009/03/21,,,,,,,,,,,,,,,,,,,minerals,minerals
78,2009/03/22,,,,,,,,,,,,,,,,,,,minerals,minerals
79,2009/03/23,,,,,,,,,,,,,,,,,,,minerals,minerals
80,2009/03/24,,,,,,,,,,,,,,,,,,,minerals,minerals
81,2009/03/25,,,,,,,,,,,,,,,,,,,minerals,minerals
82,2009/03/26,,,,,,,,,,,,,,,,,,,minerals,minerals
83,2009/03/27,,,,,,,,,,,,,,,,,,,minerals,minerals
84,2009/03/28,,,,,,,,,,,,,,,,,,,minerals,minerals
85,2009/03/29,,,,,,,,,,,,,,,,,,,minerals,minerals
86,2009/03/30,,,,,,,,,,,,,,,,,,,minerals,minerals
87,2009/03/31,,,,,,,,,,,,,,,,,,,minerals,minerals
88,2009/04/01,,,,,,,,,,,,,,,,,,,minerals,minerals
89,2009/04/02,,,,,,,,,,,,,,,,,,,minerals,minerals
90,2009/04/03,,,,,,,,,,,,,,,,,,,minerals,minerals
91,2009/04/04,,,,,,,,,,,,,,,,,,,minerals,minerals
92,2009/04/05,,,,,,,,,,,,,,,,,,,minerals,minerals
93,2009/04/06,,,,,,,,,,,,,,,,,,,minerals,minerals
94,2009/04/07,,,,,,,,,,,,,,,,,,,minerals,minerals
95,2009/04/08,,,,,,,,,,,,,,,,,,,minerals,minerals
96,2009/04/09,,,,,,,,,,,,,,,,,,,minerals,minerals
97,2009/04/10,,,,,,,,,,,,,,,,,,,minerals,minerals
98,2009/04/11,,,,,,,,,,,,,,,,,,,minerals,minerals
99,2009/04/12,,,,,,,,,,,,,,,,,,,minerals,minerals
100,2009/04/13,,,,,,,,,,,,,,,,,,,minerals,minerals
101,2009/04/14,,,,,,,,,,,,,,,,,,,minerals,minerals
102,2009/04/15,,,,,,,,,,,,,,,,,,,minerals,minerals
103,2009/04/16,,,,,,,,,,,,,,,,,,,minerals,minerals
104,2009/04/17,,,,,,,,,,,,,,,,,,,minerals,minerals
105,2009/04/18,,,,,,,,,,,,,,,,,,,minerals,minerals
106,2009/04/19,,,,,,,,,,,,,,,,,,,minerals,minerals
107,2009/04/20,,,,,,,,,,,,,,,,,,,minerals,minerals
108,2009/04/21,,,,,,,,,,,,,,,,,,,minerals,minerals
109,2009/04/22,,,,,,,,,,,,,,,,,,,minerals,minerals
110,2009/04/23,,,,,,,,,,,,,,,,,,,minerals,minerals
111,2009/04/24,,,,,,,,,,,,,,,,,,,minerals,minerals
112,2009/04/25,,,,,,,,,,,,,,,,,,,minerals,minerals
113,2009/04/26,,,,,,,,,,,,,,,,,,,minerals,minerals
114,2009/04/27,,,,,,,,,,,,,,,,,,,minerals,minerals
115,2009/04/28,,,,,,,,,,,,,,,,,,,minerals,minerals
116,2009/04/29,,,,,,,,,,,,,,,,,,,minerals,minerals
117,2009/04/30,,,,,,,,,,,,,,,,,,,minerals,minerals
118,2009/05/01,,,,,,,,,,,,,,,,,,,minerals,minerals
119,2009/05/02,,,,,,,,,,,,,,,,,,,minerals,minerals
120,2009/05/03,,,,,,,,,,,,,,,,,,,minerals,minerals
121,2009/05/04,,,,,,,,,,,,,,,,,,,minerals,minerals
122,2009/05/05,,,,,,,,,,,,,,,,,,,minerals,minerals
123,2009/05/06,,,,,,,,,,,,,,,,,,,minerals,minerals
124,2009/05/07,,,,,,,,,,,,,,,,,,,minerals,minerals
125,2009/05/08,,,,,,,,,,,,,,,,,,,minerals,minerals
126,2009/05/09,,,,,,,,,,,,,,,,,,,minerals,minerals
127,2009/05/10,,,,,,,,,,,,,,,,,,,minerals,minerals
128,2009/05/11,,,,,,,,,,,,,,,,,,,minerals,minerals
129,2009/05/12,,,,,,,,,,,,,,,,,,,minerals,minerals
130,2009/05/13,,,,,,,,,,,,,,,,,,,minerals,minerals
131,2009/05/14,,,,,,,,,,,,,,,,,,,minerals,minerals
132,2009/05/15,,,,,,,,,,,,,,,,,,,minerals,minerals
133,2009/05/16,,,,,,,,,,,,,,,,,,,minerals,minerals
134,2009/05/17,,,,,,,,,,,,,,,,,,,minerals,minerals
135,2009/05/18,,,,,,,,,,,,,,,,,,,minerals,minerals
136,2009/05/19,,,,,,,,,,,,,,,,,,,minerals,minerals
137,2009/05/20,,,,,,,,,,,,,,,,,,,minerals,minerals
138,2009/05/21,,,,,,,,,,,,,,,,,,,minerals,minerals
139,2009/05/22,,,,,,,,,,,,,,,,,,,minerals,minerals
140,2009/05/23,,,,,,,,,,,,,,,,,,,minerals,minerals
141,2009/05/24,,,,,,,,,,,,,,,,,,,minerals,minerals
142,2009/05/25,,,,,,,,,,,,,,,,,,,minerals,minerals
143,2009/05/26,,,,,,,,,,,,,,,,,,,minerals,minerals
144,2009/05/27,,,,,,,,,,,,,,,,,,,minerals,minerals
145,2009/05/28,,,,,,,,,,,,,,,,,,,minerals,minerals
146,2009/05/29,,,,,,,,,,,,,,,,,,,minerals,minerals
147,2009/05/30,,,,,,,,,,,,,,,,,,,minerals,minerals
148,2009/05/31,,,,,,,,,,,,,,,,,,,minerals,minerals
149,2009/06/01,,,,,,,,,,,,,,,,,,,minerals,minerals
150,2009/06/02,,,,,,,,,,,,,,,,,,,minerals,minerals
151,2009/06/03,,,,,,,,,,,,,,,,,,,minerals,minerals
152,2009/06/04,,,,,,,,,,,,,,,,,,,minerals,minerals
153,2009/06/05,,,,,,,,,,,,,,,,,,,minerals,minerals
154,2009/06/06,,,,,,,,,,,,,,,,,,,minerals,minerals
155,2009/06/07,,,,,,,,,,,,,,,,,,,minerals,minerals
156,2009/06/08,,,,,,,,,,,,,,,,,,,minerals,minerals
157,2009/06/09,,,,,,,,,,,,,,,,,,,minerals,minerals
158,2009/06/10,,,,,,,,,,,,,,,,,,,minerals,minerals
159,2009/06/11,,,,,,,,,,,,,,,,,,,minerals,minerals
160,2009/06/12,,,,,,,,,,,,,,,,,,,minerals,minerals
161,2009/06/13,,,,,,,,,,,,,,,,,,,minerals,minerals
162,2009/06/14,,,,,,,,,,,,,,,,,,,minerals,minerals
163,2009/06/15,,,,,,,,,,,,,,,,,,,minerals,minerals
164,2009/06/16,,,,,,,,,,,,,,,,,,,minerals,minerals
165,2009/06/17,,,,,,,,,,,,,,,,,,,minerals,minerals
166,2009/06/18,,,,,,,,,,,,,,,,,,,minerals,minerals
167,2009/06/19,,,,,,,,,,,,,,,,,,,minerals,minerals
168,2009/06/20,,,,,,,,,,,,,,,,,,,minerals,minerals
169,2009/06/21,,,,,,,,,,,,,,,,,,,minerals,minerals
170,2009/06/22,,,,,,,,,,,,,,,,,,,minerals,minerals
