,date,send_usd,sent_addresses,difficulty,active_addresses,fee_reward,median_transaction_size,transactions,market_cap,av_transaction_value,mining_profitability,block_size,av_transaction_size,top_100_percent,confirmation_time,tweets,google_trends,hashrate,median_transaction_value,full_name,coin
36,2010/08/22,1337nullnull,324nullnull,511.774nullnull,586nullnull,,,154nullnull,247433nullnull,3.654nullnull,,391.557nullnull,,,,,,,,novacoin,nvc
37,2010/08/23,1164nullnull,352nullnull,511.774nullnull,653nullnull,,,156nullnull,247957nullnull,3.153nullnull,,407.108nullnull,,,,,,,,novacoin,nvc
38,2010/08/24,1370nullnull,336nullnull,511.774nullnull,632nullnull,,,164nullnull,246754nullnull,3.615nullnull,,755.126nullnull,,,,,,,,novacoin,nvc
39,2010/08/25,1044nullnull,338nullnull,511.774nullnull,499nullnull,,,149nullnull,249910nullnull,2.86nullnull,,334.458nullnull,,,,,,,,novacoin,nvc
40,2010/08/26,917.558nullnull,314nullnull,516.557nullnull,652nullnull,,,158nullnull,246034nullnull,2.493nullnull,,481.548nullnull,,,,,,,,novacoin,nvc
41,2010/08/27,1851nullnull,253nullnull,623.387nullnull,497nullnull,,,123nullnull,247093nullnull,6.296nullnull,,393.994nullnull,,,,,,,,novacoin,nvc
42,2010/08/28,1073nullnull,311nullnull,623.387nullnull,527nullnull,,,169nullnull,247836nullnull,3.166nullnull,,526.465nullnull,,,,,,,,novacoin,nvc
43,2010/08/29,553.705nullnull,241nullnull,623.387nullnull,390nullnull,,,98nullnull,247616nullnull,2.13nullnull,,332.691nullnull,,,,,,,,novacoin,nvc
44,2010/08/30,896.554nullnull,316nullnull,623.387nullnull,522nullnull,,,180nullnull,249814nullnull,2.725nullnull,,590.483nullnull,,,,,,,,novacoin,nvc
45,2010/08/31,2492nullnull,387nullnull,623.387nullnull,734nullnull,,,257nullnull,239749nullnull,5.65nullnull,,895.864nullnull,,,,,,,,novacoin,nvc
46,2010/09/01,1796nullnull,365nullnull,623.387nullnull,603nullnull,,,223nullnull,241850nullnull,4.726nullnull,,813.592nullnull,,,,,,,,novacoin,nvc
47,2010/09/02,2161nullnull,259nullnull,623.387nullnull,543nullnull,,,165nullnull,241370nullnull,6.731nullnull,,526.974nullnull,,,,,,,,novacoin,nvc
48,2010/09/03,1819nullnull,315nullnull,623.387nullnull,500nullnull,,,155nullnull,236898nullnull,5.702nullnull,,426.171nullnull,,,,,,,,novacoin,nvc
49,2010/09/04,1856nullnull,242nullnull,623.387nullnull,451nullnull,,,93nullnull,240865nullnull,6.774nullnull,,328.414nullnull,,,,,,,,novacoin,nvc
50,2010/09/05,8510nullnull,296nullnull,623.387nullnull,548nullnull,,,146nullnull,242245nullnull,27.365nullnull,,465.139nullnull,,,,,,,,novacoin,nvc
51,2010/09/06,4699nullnull,260nullnull,623.387nullnull,511nullnull,,,120nullnull,243246nullnull,16.902nullnull,,424.88nullnull,,,,,,,,novacoin,nvc
52,2010/09/07,1118nullnull,245nullnull,623.387nullnull,403nullnull,,,122nullnull,240403nullnull,3.965nullnull,,386.781nullnull,,,,,,,,novacoin,nvc
53,2010/09/08,1085nullnull,306nullnull,696.613nullnull,545nullnull,,,174nullnull,241680nullnull,3.202nullnull,,479.806nullnull,,,,,,,,novacoin,nvc
54,2010/09/09,2088nullnull,313nullnull,712.885nullnull,514nullnull,,,189nullnull,240631nullnull,6.444nullnull,,633.726nullnull,,,,,,,,novacoin,nvc
55,2010/09/10,870.242nullnull,312nullnull,712.885nullnull,541nullnull,,,183nullnull,242208nullnull,2.417nullnull,,480.203nullnull,,,,,,,,novacoin,nvc
56,2010/09/11,641.512nullnull,280nullnull,712.885nullnull,433nullnull,,,145nullnull,248207nullnull,2.103nullnull,,424.7nullnull,,,,,,,,novacoin,nvc
57,2010/09/12,1147nullnull,373nullnull,712.885nullnull,711nullnull,,,202nullnull,244827nullnull,3.028nullnull,,619.424nullnull,,,,,,,,novacoin,nvc
58,2010/09/13,7275nullnull,457nullnull,712.885nullnull,718nullnull,,,265nullnull,246505nullnull,16.686nullnull,,695.836nullnull,,,,,,,,novacoin,nvc
59,2010/09/14,1878nullnull,388nullnull,712.885nullnull,664nullnull,,,221nullnull,246678nullnull,4.429nullnull,,517.32nullnull,,,,,,,,novacoin,nvc
60,2010/09/15,2453nullnull,430nullnull,712.885nullnull,662nullnull,,,261nullnull,245133nullnull,5.704nullnull,,686.669nullnull,,,,,,,,novacoin,nvc
61,2010/09/16,2141nullnull,363nullnull,712.885nullnull,685nullnull,,,219nullnull,247451nullnull,4.887nullnull,,470.575nullnull,,,,,,,,novacoin,nvc
62,2010/09/17,4514nullnull,319nullnull,712.885nullnull,1003nullnull,,,153nullnull,240293nullnull,12.503nullnull,,645.538nullnull,,,,,,,,novacoin,nvc
63,2010/09/18,2617nullnull,338nullnull,712.885nullnull,562nullnull,,,162nullnull,241137nullnull,6.56nullnull,,371.608nullnull,,,,,,,,novacoin,nvc
64,2010/09/19,3160nullnull,311nullnull,893.316nullnull,654nullnull,,,146nullnull,249124nullnull,8.902nullnull,,428.684nullnull,,,,,,,,novacoin,nvc
65,2010/09/20,2580nullnull,458nullnull,917.831nullnull,705nullnull,,,262nullnull,250962nullnull,5.549nullnull,,611.389nullnull,,,,,,,,novacoin,nvc
66,2010/09/21,1742nullnull,899nullnull,917.831nullnull,1216nullnull,,,638nullnull,254732nullnull,2.151nullnull,,1474nullnull,,,,,,,,novacoin,nvc
