,date,block_size,median_transaction_size,median_transaction_value,market_cap,hashrate,top_100_percent,transactions,active_addresses,fee_reward,sent_addresses,tweets,difficulty,confirmation_time,send_usd,av_transaction_value,google_trends,mining_profitability,av_transaction_size,full_name,coin
68,2009/03/12,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
69,2009/03/13,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
70,2009/03/14,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
71,2009/03/15,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
72,2009/03/16,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
73,2009/03/17,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
74,2009/03/18,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
75,2009/03/19,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
76,2009/03/20,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
77,2009/03/21,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
78,2009/03/22,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
79,2009/03/23,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
80,2009/03/24,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
81,2009/03/25,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
82,2009/03/26,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
83,2009/03/27,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
84,2009/03/28,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
85,2009/03/29,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
86,2009/03/30,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
87,2009/03/31,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
88,2009/04/01,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
89,2009/04/02,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
90,2009/04/03,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
91,2009/04/04,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
92,2009/04/05,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
93,2009/04/06,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
94,2009/04/07,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
95,2009/04/08,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
96,2009/04/09,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
97,2009/04/10,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
98,2009/04/11,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
99,2009/04/12,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
100,2009/04/13,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
101,2009/04/14,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
102,2009/04/15,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
103,2009/04/16,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
104,2009/04/17,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
105,2009/04/18,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
106,2009/04/19,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
107,2009/04/20,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
108,2009/04/21,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
109,2009/04/22,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
110,2009/04/23,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
111,2009/04/24,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
112,2009/04/25,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
113,2009/04/26,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
114,2009/04/27,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
115,2009/04/28,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
116,2009/04/29,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
117,2009/04/30,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
118,2009/05/01,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
119,2009/05/02,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
120,2009/05/03,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
121,2009/05/04,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
122,2009/05/05,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
123,2009/05/06,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
124,2009/05/07,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
125,2009/05/08,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
126,2009/05/09,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
127,2009/05/10,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
128,2009/05/11,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
129,2009/05/12,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
130,2009/05/13,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
131,2009/05/14,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
132,2009/05/15,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
133,2009/05/16,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
134,2009/05/17,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
135,2009/05/18,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
136,2009/05/19,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
137,2009/05/20,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
138,2009/05/21,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
139,2009/05/22,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
140,2009/05/23,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
141,2009/05/24,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
142,2009/05/25,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
143,2009/05/26,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
144,2009/05/27,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
145,2009/05/28,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
146,2009/05/29,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
147,2009/05/30,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
148,2009/05/31,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
149,2009/06/01,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
150,2009/06/02,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
151,2009/06/03,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
152,2009/06/04,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
153,2009/06/05,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
154,2009/06/06,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
155,2009/06/07,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
156,2009/06/08,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
157,2009/06/09,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
158,2009/06/10,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
159,2009/06/11,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
160,2009/06/12,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
161,2009/06/13,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
162,2009/06/14,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
163,2009/06/15,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
164,2009/06/16,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
165,2009/06/17,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
166,2009/06/18,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
167,2009/06/19,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
168,2009/06/20,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
169,2009/06/21,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
170,2009/06/22,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
171,2009/06/23,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
172,2009/06/24,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
173,2009/06/25,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
174,2009/06/26,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
175,2009/06/27,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
176,2009/06/28,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
177,2009/06/29,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
178,2009/06/30,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
179,2009/07/01,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
180,2009/07/02,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
181,2009/07/03,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
182,2009/07/04,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
183,2009/07/05,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
184,2009/07/06,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
185,2009/07/07,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
186,2009/07/08,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
187,2009/07/09,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
188,2009/07/10,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
189,2009/07/11,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
190,2009/07/12,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
191,2009/07/13,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
192,2009/07/14,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
