,difficulty,block_size,av_transaction_value,confirmation_time,median_transaction_size,hashrate,top_100_percent,mining_profitability,google_trends,fee_reward,transactions,av_transaction_size,send_usd,median_transaction_value,active_addresses,sent_addresses,date,tweets,market_cap,full_name,coin
70,,,,,,,,,,,,,,,,,2014/09/19,46,786178,stealthcoin,stealthcoin
71,,,,,,,,,,,,,,,,,2014/09/20,149,829618,stealthcoin,stealthcoin
72,,,,,,,,,,,,,,,,,2014/09/21,153,1083494,stealthcoin,stealthcoin
73,,,,,,,,,,,,,,,,,2014/09/22,66,1184681,stealthcoin,stealthcoin
74,,,,,,,,,,,,,,,,,2014/09/23,137,1171831,stealthcoin,stealthcoin
75,,,,,,,,,,,,,,,,,2014/09/24,62,963649,stealthcoin,stealthcoin
76,,,,,,,,,,,,,,,,,2014/09/25,33,887404,stealthcoin,stealthcoin
77,,,,,,,,,,,,,,,,,2014/09/26,39,878419,stealthcoin,stealthcoin
78,,,,,,,,,,,,,,,,,2014/09/27,30,852726,stealthcoin,stealthcoin
79,,,,,,,,,,,,,,,,,2014/09/28,16,812936,stealthcoin,stealthcoin
80,,,,,,,,,,,,,,,,,2014/09/29,40,720056,stealthcoin,stealthcoin
81,,,,,,,,,,,,,,,,,2014/09/30,30,742647,stealthcoin,stealthcoin
82,,,,,,,,,,,,,,,,,2014/10/01,375,888608,stealthcoin,stealthcoin
83,,,,,,,,,,,,,,,,,2014/10/02,259,901749,stealthcoin,stealthcoin
84,,,,,,,,,,,,,,,,,2014/10/03,56,791588,stealthcoin,stealthcoin
85,,,,,,,,,,,,,,,,,2014/10/04,21,746262,stealthcoin,stealthcoin
86,,,,,,,,,,,,,,,,,2014/10/05,38,669544,stealthcoin,stealthcoin
87,,,,,,,,,,,,,,,,,2014/10/06,11,701554,stealthcoin,stealthcoin
88,,,,,,,,,,,,,,,,,2014/10/07,25,695065,stealthcoin,stealthcoin
89,,,,,,,,,,,,,,,,,2014/10/08,32,610747,stealthcoin,stealthcoin
90,,,,,,,,,,,,,,,,,2014/10/09,26,629940,stealthcoin,stealthcoin
91,,,,,,,,,,,,,,,,,2014/10/10,11,475414,stealthcoin,stealthcoin
92,,,,,,,,,,,,,,,,,2014/10/11,24,450315,stealthcoin,stealthcoin
93,,,,,,,,,,,,,,,,,2014/10/12,12,465542,stealthcoin,stealthcoin
94,,,,,,,,,,,,,,,,,2014/10/13,3,430893,stealthcoin,stealthcoin
95,,,,,,,,,,,,,,,,,2014/10/14,3,402685,stealthcoin,stealthcoin
96,,,,,,,,,,,,,,,,,2014/10/15,13,337303,stealthcoin,stealthcoin
97,,,,,,,,,,,,,,,,,2014/10/16,22,381235,stealthcoin,stealthcoin
98,,,,,,,,,,,,,,,,,2014/10/17,1,390584,stealthcoin,stealthcoin
99,,,,,,,,,,,,,,,,,2014/10/18,16,466409,stealthcoin,stealthcoin
100,,,,,,,,,,,,,,,,,2014/10/19,8,475967,stealthcoin,stealthcoin
101,,,,,,,,,,,,,,,,,2014/10/20,25,426531,stealthcoin,stealthcoin
102,,,,,,,,,,,,,,,,,2014/10/21,20,388582,stealthcoin,stealthcoin
103,,,,,,,,,,,,,,,,,2014/10/22,3,374750,stealthcoin,stealthcoin
104,,,,,,,,,,,,,,,,,2014/10/23,28,375819,stealthcoin,stealthcoin
105,,,,,,,,,,,,,,,,,2014/10/24,3,347414,stealthcoin,stealthcoin
106,,,,,,,,,,,,,,,,,2014/10/25,1,319369,stealthcoin,stealthcoin
107,,,,,,,,,,,,,,,,,2014/10/26,33,314463,stealthcoin,stealthcoin
108,,,,,,,,,,,,,,,,,2014/10/27,2,315620,stealthcoin,stealthcoin
109,,,,,,,,,,,,,,,,,2014/10/28,11,348374,stealthcoin,stealthcoin
110,,,,,,,,,,,,,,,,,2014/10/29,4,303393,stealthcoin,stealthcoin
111,,,,,,,,,,,,,,,,,2014/10/30,null,288170,stealthcoin,stealthcoin
112,,,,,,,,,,,,,,,,,2014/10/31,1,284484,stealthcoin,stealthcoin
113,,,,,,,,,,,,,,,,,2014/11/01,6,229983,stealthcoin,stealthcoin
114,,,,,,,,,,,,,,,,,2014/11/02,2,214317,stealthcoin,stealthcoin
115,,,,,,,,,,,,,,,,,2014/11/03,null,220414,stealthcoin,stealthcoin
116,,,,,,,,,,,,,,,,,2014/11/04,null,207460,stealthcoin,stealthcoin
117,,,,,,,,,,,,,,,,,2014/11/05,null,219697,stealthcoin,stealthcoin
118,,,,,,,,,,,,,,,,,2014/11/06,7,195184,stealthcoin,stealthcoin
119,,,,,,,,,,,,,,,,,2014/11/07,16,202553,stealthcoin,stealthcoin
120,,,,,,,,,,,,,,,,,2014/11/08,112,193370,stealthcoin,stealthcoin
121,,,,,,,,,,,,,,,,,2014/11/09,5,195728,stealthcoin,stealthcoin
122,,,,,,,,,,,,,,,,,2014/11/10,1,198452,stealthcoin,stealthcoin
123,,,,,,,,,,,,,,,,,2014/11/11,1,190351,stealthcoin,stealthcoin
124,,,,,,,,,,,,,,,,,2014/11/12,null,197267,stealthcoin,stealthcoin
125,,,,,,,,,,,,,,,,,2014/11/13,null,188104,stealthcoin,stealthcoin
126,,,,,,,,,,,,,,,,,2014/11/14,null,203925,stealthcoin,stealthcoin
127,,,,,,,,,,,,,,,,,2014/11/15,null,215458,stealthcoin,stealthcoin
128,,,,,,,,,,,,,,,,,2014/11/16,null,235420,stealthcoin,stealthcoin
129,,,,,,,,,,,,,,,,,2014/11/17,null,231295,stealthcoin,stealthcoin
130,,,,,,,,,,,,,,,,,2014/11/18,3,176163,stealthcoin,stealthcoin
131,,,,,,,,,,,,,,,,,2014/11/19,null,167951,stealthcoin,stealthcoin
132,,,,,,,,,,,,,,,,,2014/11/20,1,160821,stealthcoin,stealthcoin
133,,,,,,,,,,,,,,,,,2014/11/21,null,156125,stealthcoin,stealthcoin
134,,,,,,,,,,,,,,,,,2014/11/22,1,160212,stealthcoin,stealthcoin
135,,,,,,,,,,,,,,,,,2014/11/23,null,171209,stealthcoin,stealthcoin
136,,,,,,,,,,,,,,,,,2014/11/24,null,182858,stealthcoin,stealthcoin
137,,,,,,,,,,,,,,,,,2014/11/25,null,196713,stealthcoin,stealthcoin
138,,,,,,,,,,,,,,,,,2014/11/26,null,187888,stealthcoin,stealthcoin
139,,,,,,,,,,,,,,,,,2014/11/27,3,216166,stealthcoin,stealthcoin
140,,,,,,,,,,,,,,,,,2014/11/28,null,214308,stealthcoin,stealthcoin
141,,,,,,,,,,,,,,,,,2014/11/29,1,194923,stealthcoin,stealthcoin
142,,,,,,,,,,,,,,,,,2014/11/30,1,199575,stealthcoin,stealthcoin
143,,,,,,,,,,,,,,,,,2014/12/01,3,194506,stealthcoin,stealthcoin
144,,,,,,,,,,,,,,,,,2014/12/02,1,204675,stealthcoin,stealthcoin
145,,,,,,,,,,,,,,,,,2014/12/03,1,210491,stealthcoin,stealthcoin
146,,,,,,,,,,,,,,,,,2014/12/04,2,207327,stealthcoin,stealthcoin
147,,,,,,,,,,,,,,,,,2014/12/05,null,189473,stealthcoin,stealthcoin
148,,,,,,,,,,,,,,,,,2014/12/06,3,203593,stealthcoin,stealthcoin
149,,,,,,,,,,,,,,,,,2014/12/07,1,220141,stealthcoin,stealthcoin
150,,,,,,,,,,,,,,,,,2014/12/08,null,195705,stealthcoin,stealthcoin
151,,,,,,,,,,,,,,,,,2014/12/09,1,192641,stealthcoin,stealthcoin
152,,,,,,,,,,,,,,,,,2014/12/10,null,208884,stealthcoin,stealthcoin
153,,,,,,,,,,,,,,,,,2014/12/11,null,213762,stealthcoin,stealthcoin
154,,,,,,,,,,,,,,,,,2014/12/12,12,225983,stealthcoin,stealthcoin
155,,,,,,,,,,,,,,,,,2014/12/13,15,234783,stealthcoin,stealthcoin
156,,,,,,,,,,,,,,,,,2014/12/14,103,235705,stealthcoin,stealthcoin
157,,,,,,,,,,,,,,,,,2014/12/15,3,243304,stealthcoin,stealthcoin
158,,,,,,,,,,,,,,,,,2014/12/16,null,209941,stealthcoin,stealthcoin
159,,,,,,,,,,,,,,,,,2014/12/17,5,198745,stealthcoin,stealthcoin
160,,,,,,,,,,,,,,,,,2014/12/18,null,196819,stealthcoin,stealthcoin
161,,,,,,,,,,,,,,,,,2014/12/19,null,191070,stealthcoin,stealthcoin
162,,,,,,,,,,,,,,,,,2014/12/20,null,186655,stealthcoin,stealthcoin
163,,,,,,,,,,,,,,,,,2014/12/21,null,190522,stealthcoin,stealthcoin
164,,,,,,,,,,,,,,,,,2014/12/22,3,173846,stealthcoin,stealthcoin
165,,,,,,,,,,,,,,,,,2014/12/23,null,165238,stealthcoin,stealthcoin
166,,,,,,,,,,,,,,,,,2014/12/24,1,159514,stealthcoin,stealthcoin
167,,,,,,,,,,,,,,,,,2014/12/25,null,161451,stealthcoin,stealthcoin
168,,,,,,,,,,,,,,,,,2014/12/26,1,159300,stealthcoin,stealthcoin
169,,,,,,,,,,,,,,,,,2014/12/27,5,150343,stealthcoin,stealthcoin
170,,,,,,,,,,,,,,,,,2014/12/28,3,156841,stealthcoin,stealthcoin
171,,,,,,,,,,,,,,,,,2014/12/29,null,158894,stealthcoin,stealthcoin
172,,,,,,,,,,,,,,,,,2014/12/30,1,168616,stealthcoin,stealthcoin
173,,,,,,,,,,,,,,,,,2014/12/31,null,180811,stealthcoin,stealthcoin
174,,,,,,,,,,,,,,,,,2015/01/01,null,189778,stealthcoin,stealthcoin
175,,,,,,,,,,,,,,,,,2015/01/02,null,162924,stealthcoin,stealthcoin
176,,,,,,,,,,,,,,,,,2015/01/03,null,163207,stealthcoin,stealthcoin
177,,,,,,,,,,,,,,,,,2015/01/04,null,137903,stealthcoin,stealthcoin
178,,,,,,,,,,,,,,,,,2015/01/05,null,144102,stealthcoin,stealthcoin
179,,,,,,,,,,,,,,,,,2015/01/06,null,139861,stealthcoin,stealthcoin
