,date,block_size,transactions,sent_addresses,difficulty,median_transaction_size,top_100_percent,av_transaction_value,av_transaction_size,send_usd,median_transaction_value,market_cap,active_addresses,google_trends,mining_profitability,fee_reward,hashrate,confirmation_time,tweets,full_name,coin
68,2009/03/12,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
69,2009/03/13,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
70,2009/03/14,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
71,2009/03/15,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
72,2009/03/16,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
73,2009/03/17,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
74,2009/03/18,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
75,2009/03/19,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
76,2009/03/20,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
77,2009/03/21,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
78,2009/03/22,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
79,2009/03/23,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
80,2009/03/24,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
81,2009/03/25,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
82,2009/03/26,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
83,2009/03/27,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
84,2009/03/28,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
85,2009/03/29,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
86,2009/03/30,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
87,2009/03/31,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
88,2009/04/01,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
89,2009/04/02,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
90,2009/04/03,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
91,2009/04/04,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
92,2009/04/05,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
93,2009/04/06,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
94,2009/04/07,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
