,date,transactions,block_size,sent_addresses,difficulty,active_addresses,hashrate,av_transaction_size,send_usd,median_transaction_size,av_transaction_value,median_transaction_value,mining_profitability,confirmation_time,google_trends,top_100_percent,tweets,market_cap,fee_reward,full_name,coin
1465,2013/01/07,40120990null,1054011070null,367241944null,297963726.112null,540562598null,,,1959007611724null,,486.2517.136null,,,,,,,1399987041000571null,,isracoin,isracoin
1466,2013/01/08,38491861null,1493041352null,361791755null,311763726.112null,560222381null,,,2875081613169null,,744.3778.803null,,,,,,,142655753992821null,,isracoin,isracoin
1467,2013/01/09,43060952null,1483371061null,384431891null,324955026.973null,561612651null,,,2335409211944null,,540.7297.55null,,,,,,,144786652987110null,,isracoin,isracoin
1468,2013/01/10,523921047null,1636831169null,423491872null,324955029.161null,611852701null,,,1830858510706null,,348.4766.979null,,,,,,,146417375978199null,,isracoin,isracoin
1469,2013/01/11,52632974null,1871763452null,454011722null,324955029.161null,610542570null,,,1859522817135null,,352.52312.109null,,,,,,,148986975960405null,,isracoin,isracoin
1470,2013/01/12,45549824null,1630981293null,349441578null,324955029.161null,507362156null,,,136655299787null,,299.2177.599null,,,,,,,148953308945872null,,isracoin,isracoin
1471,2013/01/13,49308756null,1623671768null,387771544null,324955028.942null,555032414null,,,122897148180null,,248.5736.699null,,,,,,,148367161911714null,,isracoin,isracoin
1472,2013/01/14,444031248null,1271101071null,317572207null,324955023.803null,443122892null,,,1560017429799null,,350.09415.384null,,,,,,,149053094869315null,,isracoin,isracoin
1473,2013/01/15,44901979null,158297933.296null,423741929null,324955023.803null,576272633null,,,2918699415751null,,648.2839.599null,,,,,,,148948001869376null,,isracoin,isracoin
1474,2013/01/16,53498910null,1807381136null,435951833null,324955023.862null,584232402null,,,316876927344null,,590.8694.689null,,,,,,,151465153865435null,,isracoin,isracoin
1475,2013/01/17,47989774null,1999811319null,406711613null,324955027.681null,589182201null,,,271284008771null,,5646.972null,,,,,,,158522475878185null,,isracoin,isracoin
1476,2013/01/18,49018633null,1852021254null,408091377null,324955027.681null,570561968null,,,2528006822093null,,514.4620.745null,,,,,,,163329523875540null,,isracoin,isracoin
1477,2013/01/19,56016794null,1596413595null,352851459null,324955027.681null,493571954null,,,235423169397null,,419.1268.115null,,,,,,,163338443838440null,,isracoin,isracoin
1478,2013/01/20,412411166null,1405791352null,329111759null,324955027.681null,460872318null,,,1834590111892null,,443.4487.628null,,,,,,,163781844803097null,,isracoin,isracoin
1479,2013/01/21,40309704null,1395032118null,313101439null,324955026.217null,459371982null,,,181877707465null,,449.7366.707null,,,,,,,169050748795014null,,isracoin,isracoin
1480,2013/01/22,436081218null,1447851303null,361182216null,324955019.804null,534832860null,,,242989509375null,,555.3795.092null,,,,,,,177855749773371null,,isracoin,isracoin
1481,2013/01/23,465521360null,1743001503null,346462393null,318715519.804null,473473270null,,,410278789132null,,878.9554.575null,,,,,,,181983495813451null,,isracoin,isracoin
1482,2013/01/24,460651348null,1507921603null,378552278null,296877519.804null,606982937null,,,273210348881null,,591.0964.664null,,,,,,,181128134871711null,,isracoin,isracoin
1483,2013/01/25,483741710null,1641421428null,370282917null,296877520.369null,495583906null,,,2626096610154null,,541.344.399null,,,,,,,179979988887911null,,isracoin,isracoin
1484,2013/01/26,522101031null,152095982.399null,389211930null,296877520.519null,546472584null,,,230071056502null,,439.3524.133null,,,,,,,183697433911134null,,isracoin,isracoin
1485,2013/01/27,552621037null,1621211587null,388781954null,296877520.519null,495782654null,,,253735967955null,,457.94.953null,,,,,,,185027587920221null,,isracoin,isracoin
1486,2013/01/28,52033940null,1683411491null,375701854null,296877520.478null,542943513null,,,2987605711683null,,572.5587.899null,,,,,,,189686957904428null,,isracoin,isracoin
1487,2013/01/29,515451013null,1572971251null,384131953null,296877520.314null,556162719null,,,4491536110076null,,868.7196.451null,,,,,,,198600649911116null,,isracoin,isracoin
1488,2013/01/30,410661261null,1273682018null,320802159null,296877520.314null,445352902null,,,510081408074null,,12374.508null,,,,,,,203340930927855null,,isracoin,isracoin
1489,2013/01/31,51440966null,1244841381null,349051918null,296877520.314null,478442704null,,,3124460615585null,,605.12910.253null,,,,,,,211384096972687null,,isracoin,isracoin
1490,2013/02/01,59235855null,1790451001null,466911768null,296877519.615null,644102435null,,,3659461414455null,,616.25810.209null,,,,,,,2168418291002146null,,isracoin,isracoin
1491,2013/02/02,54312957null,1586221139null,402011952null,296877518.937null,565812529null,,,270376677808null,,496.4234.914null,,,,,,,214845460990117null,,isracoin,isracoin
1492,2013/02/03,60978881null,149217948.814null,405311841null,296877518.937null,575042487null,,,277172286312null,,453.1624.267null,,,,,,,214863026993298null,,isracoin,isracoin
1493,2013/02/04,548411015null,1534621291null,393262021null,296877519.274null,573712789null,,,404007108413null,,734.4925.102null,,,,,,,2159869011012870null,,isracoin,isracoin
1494,2013/02/05,53253937null,1416251234null,450831866null,311569220.543null,599372526null,,,4026993312180null,,753.8368.164null,,,,,,,2160478911024779null,,isracoin,isracoin
1495,2013/02/06,424091024null,1292811384null,387962022null,327546520.543null,536582679null,,,3802019115621null,,893.4379.715null,,,,,,,2200110311030768null,,isracoin,isracoin
1496,2013/02/07,610831411null,1777221224null,422462434null,327546520.543null,583093176null,,,3659823815297null,,597.6497.668null,,,,,,,2280778391051067null,,isracoin,isracoin
1497,2013/02/08,607701263null,1803151604null,425022240null,327546520.535null,602043682null,,,4807548221096null,,789.14511.305null,,,,,,,2364931901109844null,,isracoin,isracoin
1498,2013/02/09,576072008null,1792952045null,388593000null,327546520.532null,563493773null,,,4132162227680null,,715.52610.695null,,,,,,,2452086151150633null,,isracoin,isracoin
1499,2013/02/10,562821800null,1539412222null,418342781null,327546520.532null,575843650null,,,3178719423312null,,563.1739.832null,,,,,,,2502991041174107null,,isracoin,isracoin
1500,2013/02/11,574352052null,1648382022null,372152877null,327546520.594null,522893644null,,,3139171613770null,,545.0525.286null,,,,,,,2551721621185172null,,isracoin,isracoin
1501,2013/02/12,584121221null,1924551580null,383702180null,327546520.794null,518593009null,,,3062433022991null,,523.03713.437null,,,,,,,2595899271129985null,,isracoin,isracoin
1502,2013/02/13,589191185null,1583381513null,379502098null,327546520.794null,531612766null,,,2950873615180null,,499.3869.239null,,,,,,,2612356281083843null,,isracoin,isracoin
1503,2013/02/14,507771481null,1578231852null,358742324null,327546520.794null,514753033null,,,3771052517314null,,740.4679.108null,,,,,,,2711725961109270null,,isracoin,isracoin
1504,2013/02/15,554681367null,1458571919null,361672154null,327546520.794null,501422960null,,,3377059822148null,,606.87212.457null,,,,,,,2841981851111239null,,isracoin,isracoin
1505,2013/02/16,512441362null,1248791394null,326492316null,327546516.83null,471123092null,,,3353721712335null,,652.0566.3null,,,,,,,2862573641118182null,,isracoin,isracoin
1506,2013/02/17,494471453null,1260131506null,335542488null,327546515.973null,455753363null,,,3028227814701null,,610.0997.007null,,,,,,,2863935721111378null,,isracoin,isracoin
1507,2013/02/18,502131800null,1439391691null,356402922null,363934915.973null,472363874null,,,3269994023302null,,649.1439.389null,,,,,,,2863078501095810null,,isracoin,isracoin
1508,2013/02/19,543601704null,1604371752null,365892763null,365101217.8null,494003833null,,,4022289720885null,,737.7789.01null,,,,,,,2990319731093894null,,isracoin,isracoin
1509,2013/02/20,595551362null,1493482487null,366512266null,365101218.676null,507833423null,,,3461303159943null,,579.31732.297null,,,,,,,3126120071034530null,,isracoin,isracoin
1510,2013/02/21,557401125null,1422092078null,382852051null,365101218.676null,506332935null,,,3061796497666null,,547.57160.813null,,,,,,,316409717996085null,,isracoin,isracoin
1511,2013/02/22,620011323null,1669752153null,406432290null,365101218.676null,543193239null,,,4606115917132null,,740.8799.346null,,,,,,,3162790781001043null,,isracoin,isracoin
1512,2013/02/23,577222110null,1630902223null,388543075null,365101216.963null,513754003null,,,3712008024252null,,641.2629.124null,,,,,,,313748241994571null,,isracoin,isracoin
1513,2013/02/24,570081530null,1593891442null,393052536null,365101216.503null,520503332null,,,4901386123280null,,857.42511.187null,,,,,,,3112867381036072null,,isracoin,isracoin
1514,2013/02/25,669401656null,1497241749null,407222715null,365101216.503null,566283628null,,,5370263415631null,,799.8137.044null,,,,,,,3117074111005181null,,isracoin,isracoin
1515,2013/02/26,632721613null,1746882511null,423172587null,365101216.421null,588093568null,,,4747109417357null,,748.3078.084null,,,,,,,315552208998597null,,isracoin,isracoin
1516,2013/02/27,607562547null,1457542600null,386543563null,365101215.82null,550514708null,,,4573830817165null,,750.4365.532null,,,,,,,323337216993580null,,isracoin,isracoin
1517,2013/02/28,628533012null,1735822888null,407364159null,365101215.82null,598055463null,,,4647293928001null,,737.427.699null,,,,,,,3399216261043662null,,isracoin,isracoin
1518,2013/03/01,643832270null,1965381946null,447013519null,384437615.82null,630704777null,,,5464190019161null,,846.7026.353null,,,,,,,3603326431118758null,,isracoin,isracoin
1519,2013/03/02,556801777null,1803561219null,332082907null,436787617.546null,492293837null,,,4943129220298null,,885.4697.938null,,,,,,,3591791781178732null,,isracoin,isracoin
1520,2013/03/03,542981767null,1570831524null,311962906null,436787617.603null,460603764null,,,3018881240682null,,554.3415.635null,,,,,,,3521388501400614null,,isracoin,isracoin
1521,2013/03/04,638652087null,1646812571null,368403397null,436787621.23null,535385050null,,,32504735131757null,,507.53845.512null,,,,,,,3619830071841813null,,isracoin,isracoin
1522,2013/03/05,567292183null,1944963260null,402873356null,436787625.274null,573945041null,,,70884801188218null,,124664.97null,,,,,,,3976744902406321null,,isracoin,isracoin
1523,2013/03/06,626052565null,1945182108null,466194039null,436787625.454null,691515343null,,,90458577135932null,,144138.815null,,,,,,,4234718282848126null,,isracoin,isracoin
1524,2013/03/07,666102143null,2018293537null,446363339null,436787635.225null,663674425null,,,66204096368751null,,991.525134.679null,,,,,,,4344823932934275null,,isracoin,isracoin
1525,2013/03/08,556972149null,1614342624null,396823278null,436787635.225null,565954267null,,,49759876241364null,,890.84488.218null,,,,,,,4487773713206344null,,isracoin,isracoin
1526,2013/03/09,553772064null,1568311881null,349593305null,436787635.225null,541224399null,,,44020783732389null,,792.51264.496null,,,,,,,4692803133355104null,,isracoin,isracoin
1527,2013/03/10,736616095null,1853555867null,395467262null,436787638.278null,569948811null,,,54952117888530null,,744.165131.381null,,,,,,,4831406664302667null,,isracoin,isracoin
1528,2013/03/11,5912513253null,1704649211null,3563114618null,436787638.893null,5352716161null,,,45273161808422null,,763.60157.38null,,,,,,,4909828405971780null,,isracoin,isracoin
1529,2013/03/12,483493094null,1799111958null,392304845null,436787643.193null,597415975null,,,65657598414287null,,1354104.565null,,,,,,,4801513908412232null,,isracoin,isracoin
1530,2013/03/13,565333546null,1675122603null,443885385null,436787654.192null,630436959null,,,642663201166912null,,1134263.471null,,,,,,,46590474910242629null,,isracoin,isracoin
1531,2013/03/14,578903575null,1559572560null,415455520null,466538856.384null,611156950null,,,51292794660020null,,883.308145.571null,,,,,,,47170442310121175null,,isracoin,isracoin
1532,2013/03/15,626043025null,1725763423null,455734724null,484764784.224null,634976055null,,,232895060365505null,,3710100.029null,,,,,,,4750911979899576null,,isracoin,isracoin
1533,2013/03/16,340123173null,1009492618null,334294880null,484764784.224null,509185991null,,,101717715412532null,,2975108.049null,,,,,,,4814109719739450null,,isracoin,isracoin
1534,2013/03/17,351393017null,808982901null,342254774null,484764784.468null,519445920null,,,39362276580751null,,1114156.833null,,,,,,,4791175378991991null,,isracoin,isracoin
1535,2013/03/18,432952781null,1075482946null,407694464null,484764796.152null,588665711null,,,174217980785955null,,4006233.429null,,,,,,,5047599278587432null,,isracoin,isracoin
1536,2013/03/19,459382918null,1324534328null,463974613null,484764796.152null,687435704null,,,99703613923740null,,2162273.377null,,,,,,,5608926258140402null,,isracoin,isracoin
1537,2013/03/20,460652879null,1040373960null,426584337null,484764796.152null,628485471null,,,108743266519398null,,2350159.227null,,,,,,,6306799588178059null,,isracoin,isracoin
1538,2013/03/21,553463248null,1270245685null,450194624null,484764796.152null,697276021null,,,130309460500125null,,2345139.817null,,,,,,,6991285767696684null,,isracoin,isracoin
1539,2013/03/22,603552464null,1306475029null,507063691null,484764791.846null,749724946null,,,99553275400942null,,1643145.691null,,,,,,,7186124037377443null,,isracoin,isracoin
1540,2013/03/23,526973241null,1251872849null,429594690null,484764768.594null,669875980null,,,91163149283185null,,172374.424null,,,,,,,6957641767921718null,,isracoin,isracoin
1541,2013/03/24,511463803null,1299393458null,493715348null,558105268.594null,690276428null,,,64180923420559null,,125094.699null,,,,,,,7087313078705414null,,isracoin,isracoin
1542,2013/03/25,488494990null,1685713344null,452677001null,669582669.097null,661758504null,,,106579938408367null,,217570.396null,,,,,,,7569363219049547null,,isracoin,isracoin
1543,2013/03/26,489104285null,1613793415null,486426084null,669582678.31null,730137445null,,,132299367410560null,,269782.376null,,,,,,,7852025768840161null,,isracoin,isracoin
1544,2013/03/27,530764403null,1906892675null,507056359null,669582678.31null,727577727null,,,216699733383600null,,407374.718null,,,,,,,8679986958959509null,,isracoin,isracoin
1545,2013/03/28,608064189null,1752593638null,562716214null,669582681.11null,944637835null,,,156250017775739null,,2562160.476null,,,,,,,9396423739904627null,,isracoin,isracoin
1546,2013/03/29,620853992null,1778203153null,574575894null,669582696.196null,832747269null,,,126084236592291null,,2025130.288null,,,,,,,94923206610963056null,,isracoin,isracoin
1547,2013/03/30,590234506null,1877443443null,517246617null,669582696.196null,780488238null,,,159066203731772null,,2687143.795null,,,,,,,95907844711924916null,,isracoin,isracoin
1548,2013/03/31,438174503null,1478292903null,394836529null,669582696.196null,642618608null,,,136843508990119null,,3111191.253null,,,,,,,97696089513183844null,,isracoin,isracoin
1549,2013/04/01,525726409null,1392565276null,488099100null,669582699.935null,7575611637null,,,1367794804026127null,,2592563.016null,,,,,,,103951719221407127null,,isracoin,isracoin
1550,2013/04/02,630959858null,1754435807null,6227613445null,6695826100.544null,9187517068null,,,2784227758814326null,,4400819.175null,,,,,,,118310146140209408null,,isracoin,isracoin
1551,2013/04/03,637669954null,1842095214null,6917413757null,6695826125.211null,10714217216null,,,2840399096212787null,,4478572.607null,,,,,,,131818988661249130null,,isracoin,isracoin
1552,2013/04/04,667389878null,2215686639null,7175313520null,6695826153.168null,10889016470null,,,2828097505425064null,,4249511.831null,,,,,,,135782496868483270null,,isracoin,isracoin
1553,2013/04/05,612159251null,1900677402null,6931013064null,7005058153.168null,10003416319null,,,2648558275876940null,,4348586.268null,,,,,,,141439201261949995null,,isracoin,isracoin
1554,2013/04/06,515558726null,1585668174null,5206212465null,7673000202.439null,8308615448null,,,1782619864045247null,,3458436.019null,,,,,,,147482763453490721null,,isracoin,isracoin
1555,2013/04/07,633778271null,2054116161null,5148211830null,7673000205.777null,8709714822null,,,1542263712581854null,,2445309.443null,,,,,,,156301311055850107null,,isracoin,isracoin
1556,2013/04/08,6152510874null,1951186634null,6679315131null,7673000205.777null,11389418908null,,,2494168074369498null,,4044379.177null,,,,,,,179998933266500345null,,isracoin,isracoin
1557,2013/04/09,668039364null,1791296897null,7464013565null,7673000230.299null,11207517348null,,,40547420811271224null,,60731124null,,,,,,,215110284775346300null,,isracoin,isracoin
1558,2013/04/10,6369011432null,1684427146null,8377615954null,7673000234.449null,13345319928null,,,5132969575267254null,,8125433.408null,,,,,,,196587066166736149null,,isracoin,isracoin
1559,2013/04/11,6824710667null,2164945904null,7632014865null,7673000237.901null,12461118365null,,,2755391346569076null,,4028587.645null,,,,,,,126707999040066150null,,isracoin,isracoin
1560,2013/04/12,585177975null,1637765945null,6546811648null,7673000293.36null,10296314866null,,,1636080126443139null,,2789765.805null,,,,,,,101894233133242658null,,isracoin,isracoin
1561,2013/04/13,533509968null,1451896505null,5483213795null,7673000293.36null,8283717200null,,,1281748664449654null,,2395418.366null,,,,,,,108538485237988664null,,isracoin,isracoin
1562,2013/04/14,553188960null,1751695889null,4491712854null,7673000293.36null,7139715834null,,,754761063428386null,,1393356.065null,,,,,,,101314837336814065null,,isracoin,isracoin
1563,2013/04/15,543328282null,1618876490null,5899812216null,7673000320.04null,10024815645null,,,910916052731980null,,1672308.99null,,,,,,,96117999238518925null,,isracoin,isracoin
1564,2013/04/16,676088093null,1811915414null,6712011820null,7673000323.274null,10036514880null,,,1324738762553076null,,1984293.372null,,,,,,,82835749335564846null,,isracoin,isracoin
1565,2013/04/17,565358613null,1638025447null,6138412545null,8038276323.274null,10525415465null,,,1336465452780065null,,2375301.246null,,,,,,,85841161933493249null,,isracoin,isracoin
1566,2013/04/18,464847872null,1444195761null,5449611587null,8974296355.953null,8211414335null,,,5532280481927441null,,11864228.293null,,,,,,,104593883437333233null,,isracoin,isracoin
1567,2013/04/19,593917782null,2115916657null,6733611559null,8974296364.36null,10501514486null,,,1995762132504381null,,3353300.751null,,,,,,,117912947341114567null,,isracoin,isracoin
1568,2013/04/20,481486769null,1574085158null,493159988null,8974296364.36null,7450112509null,,,1252260511860461null,,2602255.591null,,,,,,,126549745643328249null,,isracoin,isracoin
1569,2013/04/21,440487661null,1230535609null,4597211761null,8974296368.591null,6987514891null,,,1118733803240330null,,2530407.547null,,,,,,,126388691542991493null,,isracoin,isracoin
1570,2013/04/22,470417727null,1470505677null,5402311693null,8974296374.946null,9171714698null,,,1868705081767429null,,3960210.986null,,,,,,,125598226543171199null,,isracoin,isracoin
1571,2013/04/23,615008066null,1744516707null,6339911991null,8974296374.946null,9317714774null,,,19034860226524184null,,31763066null,,,,,,,133659803045927256null,,isracoin,isracoin
1572,2013/04/24,648618670null,2095596675null,6336812761null,8974296379.172null,10253815912null,,,29121016715947787null,,45661750null,,,,,,,149231491350491926null,,isracoin,isracoin
1573,2013/04/25,623949248null,17563310745null,6266613529null,8974296404.82null,9077017730null,,,22820120144813420null,,36724834null,,,,,,,154756955259040584null,,isracoin,isracoin
1574,2013/04/26,550937865null,1575915432null,5840811763null,8974296404.82null,8620515354null,,,15623540446452867null,,28935473null,,,,,,,147288352965515460null,,isracoin,isracoin
1575,2013/04/27,442229163null,1471396327null,4619213438null,8974296404.82null,7825917420null,,,10163229439058942null,,22913993null,,,,,,,139998680668110783null,,isracoin,isracoin
1576,2013/04/28,417029174null,1219386373null,4529413290null,8974296435.056null,11806017216null,,,7133045041845061null,,17034407null,,,,,,,137527270169525193null,,isracoin,isracoin
1577,2013/04/29,516029275null,1474847577null,5443013691null,8974296437.938null,8696518395null,,,24613298934201482null,,47643447null,,,,,,,144808148770295204null,,isracoin,isracoin
1578,2013/04/30,474509099null,1814118451null,4430913390null,9854414437.938null,7691717810null,,,13441321937696927null,,28243972null,,,,,,,149197242970609905null,,isracoin,isracoin
1579,2013/05/01,551768990null,1702986960null,5410813277null,10076293471.123null,8361516991null,,,16791309370224539null,,30547579null,,,,,,,138367158467947473null,,isracoin,isracoin
1580,2013/05/02,552958031null,1968457737null,5232812013null,10076293482.513null,8196815769null,,,10038375211043342null,,18111294null,,,,,,,123299486061911546null,,isracoin,isracoin
1581,2013/05/03,512756280null,1823948417null,491759574null,10076293482.513null,8285712956null,,,827593494556836null,,1610754.007null,,,,,,,114057198055566263null,,isracoin,isracoin
1582,2013/05/04,501026168null,1578867631null,415559103null,10076293482.513null,6999312377null,,,525949316124412null,,1047929.914null,,,,,,,116698498956056825null,,isracoin,isracoin
1583,2013/05/05,501675948null,1525647081null,439348574null,10076293436.421null,7214912245null,,,719424216603256null,,14351033null,,,,,,,126102317460665824null,,isracoin,isracoin
1584,2013/05/06,5317410636null,1631027491null,5003213959null,10076293396.553null,8521018244null,,,9653477412946518null,,18101200null,,,,,,,125638803259742164null,,isracoin,isracoin
1585,2013/05/07,565678712null,1709605351null,5794012231null,10076293396.553null,10912016710null,,,1070234768885632null,,1910940.69null,,,,,,,122761121457235241null,,isracoin,isracoin
1586,2013/05/08,502749035null,1565125575null,5570212663null,10076293431.369null,10243916851null,,,907408236764401null,,1799720.178null,,,,,,,121939064657238109null,,isracoin,isracoin
1587,2013/05/09,6661012776null,1890437755null,5686516210null,10076293469.798null,8194020459null,,,749504258966111null,,1135666.909null,,,,,,,120676993857243716null,,isracoin,isracoin
1588,2013/05/10,6770910503null,1905606520null,5614413964null,10076293469.798null,8434118054null,,,1006886267847313null,,1487700.641null,,,,,,,123081426057497374null,,isracoin,isracoin
1589,2013/05/11,732207000null,1905526109null,5405410112null,10076293558.72null,8091914207null,,,7544133617798117null,,10542338null,,,,,,,125315526157767029null,,isracoin,isracoin
1590,2013/05/12,652606924null,1820955612null,463219992null,10301131596.887null,6960713924null,,,623903888167910null,,958.6571083null,,,,,,,124514240056749808null,,isracoin,isracoin
1591,2013/05/13,608246596null,1687136024null,522149593null,11187257596.887null,8279613620null,,,1254564766824594null,,2074957.151null,,,,,,,125122454555687535null,,isracoin,isracoin
1592,2013/05/14,663167218null,2018357293null,5590710297null,11187257599.881null,8372314370null,,,847876816683522null,,1303856.437null,,,,,,,121149864450956206null,,isracoin,isracoin
1593,2013/05/15,640306500null,2179105860null,560949285null,11187257605.518null,8475913301null,,,783544826309973null,,1228894.05null,,,,,,,116662409647112556null,,isracoin,isracoin
1594,2013/05/16,610107434null,2010596602null,5516610199null,11187257605.518null,8416214608null,,,770145815942803null,,1259742.919null,,,,,,,119405423247458382null,,isracoin,isracoin
1595,2013/05/17,585706638null,1739256297null,506639391null,11187257605.518null,7845313148null,,,938532205838474null,,1620818.596null,,,,,,,123342604449119067null,,isracoin,isracoin
1596,2013/05/18,520665660null,1674665678null,446098199null,11187257596.419null,6837111868null,,,839891895412754null,,1618875.687null,,,,,,,125981755352701142null,,isracoin,isracoin
1597,2013/05/19,476645590null,1414895312null,417398248null,11187257593.047null,6422611892null,,,473797635228485null,,1003856.72null,,,,,,,126124316554265939null,,isracoin,isracoin
1598,2013/05/20,486926375null,1808915982null,466659064null,11187257593.047null,7167613264null,,,608378214688291null,,1263679.093null,,,,,,,126497445453451601null,,isracoin,isracoin
1599,2013/05/21,537916248null,1739305732null,547998920null,11187257592.073null,8257312779null,,,773192126243105null,,1439928.211null,,,,,,,128859526852694408null,,isracoin,isracoin
1600,2013/05/22,518345319null,1588174589null,497347850null,11187257558.122null,7480211279null,,,856675615858471null,,1669997.545null,,,,,,,130474637952182964null,,isracoin,isracoin
1601,2013/05/23,596155939null,1621925265null,573758618null,11187257558.122null,8326612400null,,,840367636540036null,,14061000null,,,,,,,132769016753091040null,,isracoin,isracoin
1602,2013/05/24,552325997null,1589254876null,550628698null,11187257558.122null,8496212545null,,,941407787577594null,,17071189null,,,,,,,139432252254205660null,,isracoin,isracoin
1603,2013/05/25,511155080null,1489364518null,432717676null,11450754585.597null,6962411082null,,,934348495892380null,,18221037null,,,,,,,142977491254280234null,,isracoin,isracoin
1604,2013/05/26,405595138null,1333145535null,405217803null,12153412595.653null,6965711330null,,,495202155960018null,,12161059null,,,,,,,144178566955183092null,,isracoin,isracoin
1605,2013/05/27,525824880null,1485054784null,459007325null,12153412595.653null,7399410639null,,,849977565698668null,,16111048null,,,,,,,143788537355402348null,,isracoin,isracoin
1606,2013/05/28,569125115null,1695095065null,506247673null,12153412597.442null,7622711265null,,,882250715420183null,,1559982.177null,,,,,,,140897622454361325null,,isracoin,isracoin
1607,2013/05/29,548925065null,1599924877null,540087574null,12153412602.338null,8055810978null,,,998119715192842null,,1857918.57null,,,,,,,141737642454109997null,,isracoin,isracoin
1608,2013/05/30,572475250null,1562394663null,518617658null,12153412602.338null,7822811319null,,,795421676228211null,,13851113null,,,,,,,142704201553368409null,,isracoin,isracoin
1609,2013/05/31,541715100null,1472774439null,512487508null,12153412602.338null,7547911152null,,,852401326134993null,,15681078null,,,,,,,141840027852596691null,,isracoin,isracoin
1610,2013/06/01,540984260null,1247854781null,450286384null,12153412621.08null,678069551null,,,609483665432850null,,11351126null,,,,,,,142439692851509844null,,isracoin,isracoin
1611,2013/06/02,497484495null,1212604473null,413086672null,12153412623.17null,658289833null,,,529932744782337null,,1065944.792null,,,,,,,139392870949736151null,,isracoin,isracoin
1612,2013/06/03,556614544null,1264054304null,500856744null,12153412623.17null,7985410093null,,,932726645016554null,,1676983.423null,,,,,,,135183419449032906null,,isracoin,isracoin
1613,2013/06/04,574094539null,1297125400null,521946688null,12153412617.59null,7863110219null,,,785500204565641null,,1364916.794null,,,,,,,134519181350133851null,,isracoin,isracoin
1614,2013/06/05,563764655null,1477385207null,488786829null,13466757604.603null,7866710256null,,,812733525317514null,,14391013null,,,,,,,135044511051397676null,,isracoin,isracoin
1615,2013/06/06,544574544null,1434464479null,506226819null,15605633604.603null,732679974null,,,894700694353794null,,1649853.333null,,,,,,,134303862651218527null,,isracoin,isracoin
1616,2013/06/07,520274810null,1547744970null,513687098null,15605633604.603null,7376810491null,,,775330386754626null,,14861246null,,,,,,,129435436349579346null,,isracoin,isracoin
1617,2013/06/08,480374443null,1228413587null,388916734null,15605633638.166null,582579718null,,,436272594662949null,,909.799917.152null,,,,,,,124495601047980705null,,isracoin,isracoin
1618,2013/06/09,443125104null,1339686278null,371147423null,15605633638.533null,5660010867null,,,711020924448651null,,1599786.856null,,,,,,,119308608346335112null,,isracoin,isracoin
1619,2013/06/10,448265420null,1186545133null,421737900null,15605633638.533null,6096311335null,,,505932226345792null,,11241059null,,,,,,,117237702244995329null,,isracoin,isracoin
1620,2013/06/11,494834798null,1231175597null,454227073null,15605633645.248null,6660913820null,,,632763334440263null,,1274831.919null,,,,,,,120095586344507604null,,isracoin,isracoin
1621,2013/06/12,457044529null,1061903299null,433536797null,15605633650.535null,637639981null,,,601799364398296null,,1335851.406null,,,,,,,121829187444162954null,,isracoin,isracoin
1622,2013/06/13,430074606null,1080344631null,462387000null,15605633650.535null,6634110152null,,,644778844030018null,,1499786.609null,,,,,,,120637545843344336null,,isracoin,isracoin
1623,2013/06/14,499924796null,1306124081null,558177188null,15605633670.12null,7576210605null,,,738483675680274null,,14891064null,,,,,,,116071716241292861null,,isracoin,isracoin
1624,2013/06/15,356533496null,965414420null,373655456null,15605633713.052null,538108433null,,,412084453015737null,,1155761.393null,,,,,,,113177090039368459null,,isracoin,isracoin
1625,2013/06/16,427813529null,1064244010null,340365511null,15948723713.052null,487858319null,,,517889452985004null,,1205745.319null,,,,,,,113339033239492118null,,isracoin,isracoin
1626,2013/06/17,457984037null,1431474302null,411016040null,19339258713.052null,569029134null,,,580083453513111null,,1263793.033null,,,,,,,113939635641017999null,,isracoin,isracoin
1627,2013/06/18,458774325null,1494703748null,448956689null,19339258678.47null,6356210244null,,,663151983375883null,,1441692.093null,,,,,,,117159982541827173null,,isracoin,isracoin
1628,2013/06/19,468954841null,1602403488null,486707202null,19339258633.77null,6914510320null,,,608768463902450null,,1294722.522null,,,,,,,118825960941860272null,,isracoin,isracoin
1629,2013/06/20,523613889null,1583343137null,470246323null,19339258633.77null,676449449null,,,766982372748189null,,1506600.824null,,,,,,,119678203241721542null,,isracoin,isracoin
1630,2013/06/21,468594647null,1320745538null,491277292null,19339258681.421null,6909811222null,,,751617212798901null,,1617534.9null,,,,,,,119997241346744220null,,isracoin,isracoin
1631,2013/06/22,444185390null,1176069985null,400107822null,19339258746.364null,5857712758null,,,446435042410257null,,1011408.607null,,,,,,,117324577451685834null,,isracoin,isracoin
1632,2013/06/23,383424360null,1067614076null,343696709null,19339258746.364null,5205510445null,,,341902202952045null,,889.345594.841null,,,,,,,115114967752982877null,,isracoin,isracoin
1633,2013/06/24,440954337null,1353934834null,446996599null,19339258747.786null,6486210491null,,,597072082870086null,,1349580.941null,,,,,,,111531040252714272null,,isracoin,isracoin
1634,2013/06/25,444724255null,1279415915null,436776421null,19339258769.715null,6138110327null,,,693724574906263null,,15541021null,,,,,,,110173900750143672null,,isracoin,isracoin
1635,2013/06/26,454534867null,1206864764null,451787174null,19339258769.715null,6499610858null,,,610356475181909null,,1348940.418null,,,,,,,111064894250784118null,,isracoin,isracoin
