,sent_addresses,transactions,hashrate,av_transaction_size,confirmation_time,block_size,median_transaction_size,median_transaction_value,av_transaction_value,top_100_percent,fee_reward,difficulty,google_trends,send_usd,mining_profitability,active_addresses,date,tweets,market_cap,full_name,coin
78,,,,,,,,,,,,,,,,,2014/08/01,13,null,savecoin,savecoin
79,,,,,,,,,,,,,,,,,2014/08/02,4,null,savecoin,savecoin
80,,,,,,,,,,,,,,,,,2014/08/03,2,null,savecoin,savecoin
81,,,,,,,,,,,,,,,,,2014/08/04,13,null,savecoin,savecoin
82,,,,,,,,,,,,,,,,,2014/08/05,6,null,savecoin,savecoin
83,,,,,,,,,,,,,,,,,2014/08/06,6,null,savecoin,savecoin
84,,,,,,,,,,,,,,,,,2014/08/07,40,null,savecoin,savecoin
85,,,,,,,,,,,,,,,,,2014/08/08,9,2521005,savecoin,savecoin
86,,,,,,,,,,,,,,,,,2014/08/09,3,1540103,savecoin,savecoin
87,,,,,,,,,,,,,,,,,2014/08/10,3,null,savecoin,savecoin
88,,,,,,,,,,,,,,,,,2014/08/11,9,null,savecoin,savecoin
89,,,,,,,,,,,,,,,,,2014/08/12,12,null,savecoin,savecoin
90,,,,,,,,,,,,,,,,,2014/08/13,14,null,savecoin,savecoin
91,,,,,,,,,,,,,,,,,2014/08/14,7,null,savecoin,savecoin
92,,,,,,,,,,,,,,,,,2014/08/15,7,null,savecoin,savecoin
93,,,,,,,,,,,,,,,,,2014/08/16,null,null,savecoin,savecoin
94,,,,,,,,,,,,,,,,,2014/08/17,3,null,savecoin,savecoin
95,,,,,,,,,,,,,,,,,2014/08/18,13,null,savecoin,savecoin
96,,,,,,,,,,,,,,,,,2014/08/19,10,708517,savecoin,savecoin
97,,,,,,,,,,,,,,,,,2014/08/20,9,572826,savecoin,savecoin
98,,,,,,,,,,,,,,,,,2014/08/21,6,682551,savecoin,savecoin
99,,,,,,,,,,,,,,,,,2014/08/22,null,,savecoin,savecoin
100,,,,,,,,,,,,,,,,,2014/08/23,null,,savecoin,savecoin
101,,,,,,,,,,,,,,,,,2014/08/24,3,,savecoin,savecoin
102,,,,,,,,,,,,,,,,,2014/08/25,3,,savecoin,savecoin
103,,,,,,,,,,,,,,,,,2014/08/26,5,,savecoin,savecoin
104,,,,,,,,,,,,,,,,,2014/08/27,9,,savecoin,savecoin
105,,,,,,,,,,,,,,,,,2014/08/28,6,,savecoin,savecoin
106,,,,,,,,,,,,,,,,,2014/08/29,5,,savecoin,savecoin
107,,,,,,,,,,,,,,,,,2014/08/30,null,,savecoin,savecoin
108,,,,,,,,,,,,,,,,,2014/08/31,1,,savecoin,savecoin
109,,,,,,,,,,,,,,,,,2014/09/01,4,,savecoin,savecoin
110,,,,,,,,,,,,,,,,,2014/09/02,null,,savecoin,savecoin
111,,,,,,,,,,,,,,,,,2014/09/03,null,,savecoin,savecoin
112,,,,,,,,,,,,,,,,,2014/09/04,null,,savecoin,savecoin
113,,,,,,,,,,,,,,,,,2014/09/05,null,,savecoin,savecoin
114,,,,,,,,,,,,,,,,,2014/09/06,null,,savecoin,savecoin
115,,,,,,,,,,,,,,,,,2014/09/07,null,,savecoin,savecoin
116,,,,,,,,,,,,,,,,,2014/09/08,null,,savecoin,savecoin
117,,,,,,,,,,,,,,,,,2014/09/09,null,,savecoin,savecoin
118,,,,,,,,,,,,,,,,,2014/09/10,null,,savecoin,savecoin
119,,,,,,,,,,,,,,,,,2014/09/11,null,,savecoin,savecoin
120,,,,,,,,,,,,,,,,,2014/09/12,null,,savecoin,savecoin
121,,,,,,,,,,,,,,,,,2014/09/13,null,,savecoin,savecoin
122,,,,,,,,,,,,,,,,,2014/09/14,null,,savecoin,savecoin
123,,,,,,,,,,,,,,,,,2014/09/15,null,,savecoin,savecoin
124,,,,,,,,,,,,,,,,,2014/09/16,null,,savecoin,savecoin
125,,,,,,,,,,,,,,,,,2014/09/17,null,,savecoin,savecoin
126,,,,,,,,,,,,,,,,,2014/09/18,null,,savecoin,savecoin
127,,,,,,,,,,,,,,,,,2014/09/19,null,,savecoin,savecoin
128,,,,,,,,,,,,,,,,,2014/09/20,null,,savecoin,savecoin
129,,,,,,,,,,,,,,,,,2014/09/21,null,,savecoin,savecoin
130,,,,,,,,,,,,,,,,,2014/09/22,null,,savecoin,savecoin
131,,,,,,,,,,,,,,,,,2014/09/23,null,,savecoin,savecoin
132,,,,,,,,,,,,,,,,,2014/09/24,null,,savecoin,savecoin
133,,,,,,,,,,,,,,,,,2014/09/25,null,,savecoin,savecoin
134,,,,,,,,,,,,,,,,,2014/09/26,null,,savecoin,savecoin
135,,,,,,,,,,,,,,,,,2014/09/27,null,,savecoin,savecoin
136,,,,,,,,,,,,,,,,,2014/09/28,null,,savecoin,savecoin
137,,,,,,,,,,,,,,,,,2014/09/29,null,,savecoin,savecoin
138,,,,,,,,,,,,,,,,,2014/09/30,null,,savecoin,savecoin
139,,,,,,,,,,,,,,,,,2014/10/01,null,,savecoin,savecoin
140,,,,,,,,,,,,,,,,,2014/10/02,null,,savecoin,savecoin
141,,,,,,,,,,,,,,,,,2014/10/03,null,,savecoin,savecoin
142,,,,,,,,,,,,,,,,,2014/10/04,null,,savecoin,savecoin
143,,,,,,,,,,,,,,,,,2014/10/05,null,,savecoin,savecoin
