,transactions,sent_addresses,block_size,hashrate,difficulty,mining_profitability,send_usd,av_transaction_size,median_transaction_size,confirmation_time,av_transaction_value,google_trends,median_transaction_value,active_addresses,top_100_percent,fee_reward,date,tweets,market_cap,full_name,coin
75,,,,,,,,,,,,,,,,,2014/08/14,275,1366609,vericoin,vericoin
76,,,,,,,,,,,,,,,,,2014/08/15,215,1836662,vericoin,vericoin
77,,,,,,,,,,,,,,,,,2014/08/16,82,1590108,vericoin,vericoin
78,,,,,,,,,,,,,,,,,2014/08/17,78,1567975,vericoin,vericoin
79,,,,,,,,,,,,,,,,,2014/08/18,110,1339451,vericoin,vericoin
80,,,,,,,,,,,,,,,,,2014/08/19,121,1264292,vericoin,vericoin
81,,,,,,,,,,,,,,,,,2014/08/20,91,1400590,vericoin,vericoin
82,,,,,,,,,,,,,,,,,2014/08/21,112,1413813,vericoin,vericoin
83,,,,,,,,,,,,,,,,,2014/08/22,460,1406098,vericoin,vericoin
84,,,,,,,,,,,,,,,,,2014/08/23,132,1437208,vericoin,vericoin
85,,,,,,,,,,,,,,,,,2014/08/24,82,1358011,vericoin,vericoin
86,,,,,,,,,,,,,,,,,2014/08/25,65,1223767,vericoin,vericoin
87,,,,,,,,,,,,,,,,,2014/08/26,72,1136611,vericoin,vericoin
88,,,,,,,,,,,,,,,,,2014/08/27,60,1166797,vericoin,vericoin
89,,,,,,,,,,,,,,,,,2014/08/28,71,1208718,vericoin,vericoin
90,,,,,,,,,,,,,,,,,2014/08/29,69,1224159,vericoin,vericoin
91,,,,,,,,,,,,,,,,,2014/08/30,81,1125136,vericoin,vericoin
92,,,,,,,,,,,,,,,,,2014/08/31,58,1130649,vericoin,vericoin
93,,,,,,,,,,,,,,,,,2014/09/01,35,1148792,vericoin,vericoin
94,,,,,,,,,,,,,,,,,2014/09/02,49,1116350,vericoin,vericoin
95,,,,,,,,,,,,,,,,,2014/09/03,50,1180186,vericoin,vericoin
96,,,,,,,,,,,,,,,,,2014/09/04,33,1213396,vericoin,vericoin
97,,,,,,,,,,,,,,,,,2014/09/05,53,1269913,vericoin,vericoin
98,,,,,,,,,,,,,,,,,2014/09/06,204,1570791,vericoin,vericoin
99,,,,,,,,,,,,,,,,,2014/09/07,191,2097662,vericoin,vericoin
100,,,,,,,,,,,,,,,,,2014/09/08,138,1766250,vericoin,vericoin
101,,,,,,,,,,,,,,,,,2014/09/09,45,1607113,vericoin,vericoin
102,,,,,,,,,,,,,,,,,2014/09/10,72,2002133,vericoin,vericoin
103,,,,,,,,,,,,,,,,,2014/09/11,63,1892083,vericoin,vericoin
104,,,,,,,,,,,,,,,,,2014/09/12,62,1780805,vericoin,vericoin
105,,,,,,,,,,,,,,,,,2014/09/13,59,1758619,vericoin,vericoin
106,,,,,,,,,,,,,,,,,2014/09/14,49,1791360,vericoin,vericoin
107,,,,,,,,,,,,,,,,,2014/09/15,45,1698224,vericoin,vericoin
108,,,,,,,,,,,,,,,,,2014/09/16,31,1629000,vericoin,vericoin
