,date,transactions,block_size,active_addresses,difficulty,av_transaction_value,send_usd,sent_addresses,top_100_percent,av_transaction_size,confirmation_time,median_transaction_value,market_cap,median_transaction_size,mining_profitability,fee_reward,google_trends,tweets,hashrate,full_name,coin
72,2009/03/16,,,,,,,,,,,,,,,,,,,netcoin,netcoin
73,2009/03/17,,,,,,,,,,,,,,,,,,,netcoin,netcoin
74,2009/03/18,,,,,,,,,,,,,,,,,,,netcoin,netcoin
75,2009/03/19,,,,,,,,,,,,,,,,,,,netcoin,netcoin
76,2009/03/20,,,,,,,,,,,,,,,,,,,netcoin,netcoin
77,2009/03/21,,,,,,,,,,,,,,,,,,,netcoin,netcoin
78,2009/03/22,,,,,,,,,,,,,,,,,,,netcoin,netcoin
79,2009/03/23,,,,,,,,,,,,,,,,,,,netcoin,netcoin
80,2009/03/24,,,,,,,,,,,,,,,,,,,netcoin,netcoin
81,2009/03/25,,,,,,,,,,,,,,,,,,,netcoin,netcoin
82,2009/03/26,,,,,,,,,,,,,,,,,,,netcoin,netcoin
83,2009/03/27,,,,,,,,,,,,,,,,,,,netcoin,netcoin
84,2009/03/28,,,,,,,,,,,,,,,,,,,netcoin,netcoin
85,2009/03/29,,,,,,,,,,,,,,,,,,,netcoin,netcoin
86,2009/03/30,,,,,,,,,,,,,,,,,,,netcoin,netcoin
87,2009/03/31,,,,,,,,,,,,,,,,,,,netcoin,netcoin
88,2009/04/01,,,,,,,,,,,,,,,,,,,netcoin,netcoin
89,2009/04/02,,,,,,,,,,,,,,,,,,,netcoin,netcoin
90,2009/04/03,,,,,,,,,,,,,,,,,,,netcoin,netcoin
91,2009/04/04,,,,,,,,,,,,,,,,,,,netcoin,netcoin
92,2009/04/05,,,,,,,,,,,,,,,,,,,netcoin,netcoin
93,2009/04/06,,,,,,,,,,,,,,,,,,,netcoin,netcoin
94,2009/04/07,,,,,,,,,,,,,,,,,,,netcoin,netcoin
95,2009/04/08,,,,,,,,,,,,,,,,,,,netcoin,netcoin
96,2009/04/09,,,,,,,,,,,,,,,,,,,netcoin,netcoin
97,2009/04/10,,,,,,,,,,,,,,,,,,,netcoin,netcoin
98,2009/04/11,,,,,,,,,,,,,,,,,,,netcoin,netcoin
99,2009/04/12,,,,,,,,,,,,,,,,,,,netcoin,netcoin
100,2009/04/13,,,,,,,,,,,,,,,,,,,netcoin,netcoin
101,2009/04/14,,,,,,,,,,,,,,,,,,,netcoin,netcoin
102,2009/04/15,,,,,,,,,,,,,,,,,,,netcoin,netcoin
103,2009/04/16,,,,,,,,,,,,,,,,,,,netcoin,netcoin
104,2009/04/17,,,,,,,,,,,,,,,,,,,netcoin,netcoin
105,2009/04/18,,,,,,,,,,,,,,,,,,,netcoin,netcoin
106,2009/04/19,,,,,,,,,,,,,,,,,,,netcoin,netcoin
107,2009/04/20,,,,,,,,,,,,,,,,,,,netcoin,netcoin
108,2009/04/21,,,,,,,,,,,,,,,,,,,netcoin,netcoin
109,2009/04/22,,,,,,,,,,,,,,,,,,,netcoin,netcoin
110,2009/04/23,,,,,,,,,,,,,,,,,,,netcoin,netcoin
111,2009/04/24,,,,,,,,,,,,,,,,,,,netcoin,netcoin
112,2009/04/25,,,,,,,,,,,,,,,,,,,netcoin,netcoin
113,2009/04/26,,,,,,,,,,,,,,,,,,,netcoin,netcoin
114,2009/04/27,,,,,,,,,,,,,,,,,,,netcoin,netcoin
115,2009/04/28,,,,,,,,,,,,,,,,,,,netcoin,netcoin
116,2009/04/29,,,,,,,,,,,,,,,,,,,netcoin,netcoin
117,2009/04/30,,,,,,,,,,,,,,,,,,,netcoin,netcoin
118,2009/05/01,,,,,,,,,,,,,,,,,,,netcoin,netcoin
119,2009/05/02,,,,,,,,,,,,,,,,,,,netcoin,netcoin
120,2009/05/03,,,,,,,,,,,,,,,,,,,netcoin,netcoin
121,2009/05/04,,,,,,,,,,,,,,,,,,,netcoin,netcoin
122,2009/05/05,,,,,,,,,,,,,,,,,,,netcoin,netcoin
123,2009/05/06,,,,,,,,,,,,,,,,,,,netcoin,netcoin
124,2009/05/07,,,,,,,,,,,,,,,,,,,netcoin,netcoin
125,2009/05/08,,,,,,,,,,,,,,,,,,,netcoin,netcoin
126,2009/05/09,,,,,,,,,,,,,,,,,,,netcoin,netcoin
127,2009/05/10,,,,,,,,,,,,,,,,,,,netcoin,netcoin
128,2009/05/11,,,,,,,,,,,,,,,,,,,netcoin,netcoin
129,2009/05/12,,,,,,,,,,,,,,,,,,,netcoin,netcoin
130,2009/05/13,,,,,,,,,,,,,,,,,,,netcoin,netcoin
131,2009/05/14,,,,,,,,,,,,,,,,,,,netcoin,netcoin
132,2009/05/15,,,,,,,,,,,,,,,,,,,netcoin,netcoin
133,2009/05/16,,,,,,,,,,,,,,,,,,,netcoin,netcoin
134,2009/05/17,,,,,,,,,,,,,,,,,,,netcoin,netcoin
135,2009/05/18,,,,,,,,,,,,,,,,,,,netcoin,netcoin
136,2009/05/19,,,,,,,,,,,,,,,,,,,netcoin,netcoin
137,2009/05/20,,,,,,,,,,,,,,,,,,,netcoin,netcoin
138,2009/05/21,,,,,,,,,,,,,,,,,,,netcoin,netcoin
139,2009/05/22,,,,,,,,,,,,,,,,,,,netcoin,netcoin
140,2009/05/23,,,,,,,,,,,,,,,,,,,netcoin,netcoin
141,2009/05/24,,,,,,,,,,,,,,,,,,,netcoin,netcoin
142,2009/05/25,,,,,,,,,,,,,,,,,,,netcoin,netcoin
143,2009/05/26,,,,,,,,,,,,,,,,,,,netcoin,netcoin
144,2009/05/27,,,,,,,,,,,,,,,,,,,netcoin,netcoin
145,2009/05/28,,,,,,,,,,,,,,,,,,,netcoin,netcoin
146,2009/05/29,,,,,,,,,,,,,,,,,,,netcoin,netcoin
147,2009/05/30,,,,,,,,,,,,,,,,,,,netcoin,netcoin
148,2009/05/31,,,,,,,,,,,,,,,,,,,netcoin,netcoin
149,2009/06/01,,,,,,,,,,,,,,,,,,,netcoin,netcoin
150,2009/06/02,,,,,,,,,,,,,,,,,,,netcoin,netcoin
151,2009/06/03,,,,,,,,,,,,,,,,,,,netcoin,netcoin
152,2009/06/04,,,,,,,,,,,,,,,,,,,netcoin,netcoin
153,2009/06/05,,,,,,,,,,,,,,,,,,,netcoin,netcoin
154,2009/06/06,,,,,,,,,,,,,,,,,,,netcoin,netcoin
155,2009/06/07,,,,,,,,,,,,,,,,,,,netcoin,netcoin
156,2009/06/08,,,,,,,,,,,,,,,,,,,netcoin,netcoin
157,2009/06/09,,,,,,,,,,,,,,,,,,,netcoin,netcoin
158,2009/06/10,,,,,,,,,,,,,,,,,,,netcoin,netcoin
159,2009/06/11,,,,,,,,,,,,,,,,,,,netcoin,netcoin
160,2009/06/12,,,,,,,,,,,,,,,,,,,netcoin,netcoin
161,2009/06/13,,,,,,,,,,,,,,,,,,,netcoin,netcoin
162,2009/06/14,,,,,,,,,,,,,,,,,,,netcoin,netcoin
163,2009/06/15,,,,,,,,,,,,,,,,,,,netcoin,netcoin
164,2009/06/16,,,,,,,,,,,,,,,,,,,netcoin,netcoin
165,2009/06/17,,,,,,,,,,,,,,,,,,,netcoin,netcoin
166,2009/06/18,,,,,,,,,,,,,,,,,,,netcoin,netcoin
167,2009/06/19,,,,,,,,,,,,,,,,,,,netcoin,netcoin
168,2009/06/20,,,,,,,,,,,,,,,,,,,netcoin,netcoin
169,2009/06/21,,,,,,,,,,,,,,,,,,,netcoin,netcoin
170,2009/06/22,,,,,,,,,,,,,,,,,,,netcoin,netcoin
171,2009/06/23,,,,,,,,,,,,,,,,,,,netcoin,netcoin
172,2009/06/24,,,,,,,,,,,,,,,,,,,netcoin,netcoin
173,2009/06/25,,,,,,,,,,,,,,,,,,,netcoin,netcoin
174,2009/06/26,,,,,,,,,,,,,,,,,,,netcoin,netcoin
175,2009/06/27,,,,,,,,,,,,,,,,,,,netcoin,netcoin
176,2009/06/28,,,,,,,,,,,,,,,,,,,netcoin,netcoin
177,2009/06/29,,,,,,,,,,,,,,,,,,,netcoin,netcoin
178,2009/06/30,,,,,,,,,,,,,,,,,,,netcoin,netcoin
179,2009/07/01,,,,,,,,,,,,,,,,,,,netcoin,netcoin
180,2009/07/02,,,,,,,,,,,,,,,,,,,netcoin,netcoin
181,2009/07/03,,,,,,,,,,,,,,,,,,,netcoin,netcoin
182,2009/07/04,,,,,,,,,,,,,,,,,,,netcoin,netcoin
183,2009/07/05,,,,,,,,,,,,,,,,,,,netcoin,netcoin
184,2009/07/06,,,,,,,,,,,,,,,,,,,netcoin,netcoin
185,2009/07/07,,,,,,,,,,,,,,,,,,,netcoin,netcoin
186,2009/07/08,,,,,,,,,,,,,,,,,,,netcoin,netcoin
187,2009/07/09,,,,,,,,,,,,,,,,,,,netcoin,netcoin
188,2009/07/10,,,,,,,,,,,,,,,,,,,netcoin,netcoin
189,2009/07/11,,,,,,,,,,,,,,,,,,,netcoin,netcoin
190,2009/07/12,,,,,,,,,,,,,,,,,,,netcoin,netcoin
191,2009/07/13,,,,,,,,,,,,,,,,,,,netcoin,netcoin
192,2009/07/14,,,,,,,,,,,,,,,,,,,netcoin,netcoin
193,2009/07/15,,,,,,,,,,,,,,,,,,,netcoin,netcoin
194,2009/07/16,,,,,,,,,,,,,,,,,,,netcoin,netcoin
195,2009/07/17,,,,,,,,,,,,,,,,,,,netcoin,netcoin
196,2009/07/18,,,,,,,,,,,,,,,,,,,netcoin,netcoin
197,2009/07/19,,,,,,,,,,,,,,,,,,,netcoin,netcoin
198,2009/07/20,,,,,,,,,,,,,,,,,,,netcoin,netcoin
199,2009/07/21,,,,,,,,,,,,,,,,,,,netcoin,netcoin
200,2009/07/22,,,,,,,,,,,,,,,,,,,netcoin,netcoin
201,2009/07/23,,,,,,,,,,,,,,,,,,,netcoin,netcoin
202,2009/07/24,,,,,,,,,,,,,,,,,,,netcoin,netcoin
203,2009/07/25,,,,,,,,,,,,,,,,,,,netcoin,netcoin
204,2009/07/26,,,,,,,,,,,,,,,,,,,netcoin,netcoin
205,2009/07/27,,,,,,,,,,,,,,,,,,,netcoin,netcoin
206,2009/07/28,,,,,,,,,,,,,,,,,,,netcoin,netcoin
207,2009/07/29,,,,,,,,,,,,,,,,,,,netcoin,netcoin
208,2009/07/30,,,,,,,,,,,,,,,,,,,netcoin,netcoin
209,2009/07/31,,,,,,,,,,,,,,,,,,,netcoin,netcoin
210,2009/08/01,,,,,,,,,,,,,,,,,,,netcoin,netcoin
211,2009/08/02,,,,,,,,,,,,,,,,,,,netcoin,netcoin
212,2009/08/03,,,,,,,,,,,,,,,,,,,netcoin,netcoin
213,2009/08/04,,,,,,,,,,,,,,,,,,,netcoin,netcoin
214,2009/08/05,,,,,,,,,,,,,,,,,,,netcoin,netcoin
215,2009/08/06,,,,,,,,,,,,,,,,,,,netcoin,netcoin
216,2009/08/07,,,,,,,,,,,,,,,,,,,netcoin,netcoin
217,2009/08/08,,,,,,,,,,,,,,,,,,,netcoin,netcoin
218,2009/08/09,,,,,,,,,,,,,,,,,,,netcoin,netcoin
219,2009/08/10,,,,,,,,,,,,,,,,,,,netcoin,netcoin
220,2009/08/11,,,,,,,,,,,,,,,,,,,netcoin,netcoin
221,2009/08/12,,,,,,,,,,,,,,,,,,,netcoin,netcoin
222,2009/08/13,,,,,,,,,,,,,,,,,,,netcoin,netcoin
223,2009/08/14,,,,,,,,,,,,,,,,,,,netcoin,netcoin
224,2009/08/15,,,,,,,,,,,,,,,,,,,netcoin,netcoin
225,2009/08/16,,,,,,,,,,,,,,,,,,,netcoin,netcoin
226,2009/08/17,,,,,,,,,,,,,,,,,,,netcoin,netcoin
227,2009/08/18,,,,,,,,,,,,,,,,,,,netcoin,netcoin
228,2009/08/19,,,,,,,,,,,,,,,,,,,netcoin,netcoin
229,2009/08/20,,,,,,,,,,,,,,,,,,,netcoin,netcoin
230,2009/08/21,,,,,,,,,,,,,,,,,,,netcoin,netcoin
231,2009/08/22,,,,,,,,,,,,,,,,,,,netcoin,netcoin
232,2009/08/23,,,,,,,,,,,,,,,,,,,netcoin,netcoin
233,2009/08/24,,,,,,,,,,,,,,,,,,,netcoin,netcoin
234,2009/08/25,,,,,,,,,,,,,,,,,,,netcoin,netcoin
235,2009/08/26,,,,,,,,,,,,,,,,,,,netcoin,netcoin
236,2009/08/27,,,,,,,,,,,,,,,,,,,netcoin,netcoin
237,2009/08/28,,,,,,,,,,,,,,,,,,,netcoin,netcoin
238,2009/08/29,,,,,,,,,,,,,,,,,,,netcoin,netcoin
239,2009/08/30,,,,,,,,,,,,,,,,,,,netcoin,netcoin
240,2009/08/31,,,,,,,,,,,,,,,,,,,netcoin,netcoin
241,2009/09/01,,,,,,,,,,,,,,,,,,,netcoin,netcoin
242,2009/09/02,,,,,,,,,,,,,,,,,,,netcoin,netcoin
243,2009/09/03,,,,,,,,,,,,,,,,,,,netcoin,netcoin
244,2009/09/04,,,,,,,,,,,,,,,,,,,netcoin,netcoin
245,2009/09/05,,,,,,,,,,,,,,,,,,,netcoin,netcoin
246,2009/09/06,,,,,,,,,,,,,,,,,,,netcoin,netcoin
247,2009/09/07,,,,,,,,,,,,,,,,,,,netcoin,netcoin
248,2009/09/08,,,,,,,,,,,,,,,,,,,netcoin,netcoin
249,2009/09/09,,,,,,,,,,,,,,,,,,,netcoin,netcoin
250,2009/09/10,,,,,,,,,,,,,,,,,,,netcoin,netcoin
251,2009/09/11,,,,,,,,,,,,,,,,,,,netcoin,netcoin
252,2009/09/12,,,,,,,,,,,,,,,,,,,netcoin,netcoin
253,2009/09/13,,,,,,,,,,,,,,,,,,,netcoin,netcoin
254,2009/09/14,,,,,,,,,,,,,,,,,,,netcoin,netcoin
255,2009/09/15,,,,,,,,,,,,,,,,,,,netcoin,netcoin
256,2009/09/16,,,,,,,,,,,,,,,,,,,netcoin,netcoin
257,2009/09/17,,,,,,,,,,,,,,,,,,,netcoin,netcoin
258,2009/09/18,,,,,,,,,,,,,,,,,,,netcoin,netcoin
259,2009/09/19,,,,,,,,,,,,,,,,,,,netcoin,netcoin
260,2009/09/20,,,,,,,,,,,,,,,,,,,netcoin,netcoin
261,2009/09/21,,,,,,,,,,,,,,,,,,,netcoin,netcoin
262,2009/09/22,,,,,,,,,,,,,,,,,,,netcoin,netcoin
263,2009/09/23,,,,,,,,,,,,,,,,,,,netcoin,netcoin
264,2009/09/24,,,,,,,,,,,,,,,,,,,netcoin,netcoin
265,2009/09/25,,,,,,,,,,,,,,,,,,,netcoin,netcoin
266,2009/09/26,,,,,,,,,,,,,,,,,,,netcoin,netcoin
267,2009/09/27,,,,,,,,,,,,,,,,,,,netcoin,netcoin
268,2009/09/28,,,,,,,,,,,,,,,,,,,netcoin,netcoin
269,2009/09/29,,,,,,,,,,,,,,,,,,,netcoin,netcoin
270,2009/09/30,,,,,,,,,,,,,,,,,,,netcoin,netcoin
271,2009/10/01,,,,,,,,,,,,,,,,,,,netcoin,netcoin
272,2009/10/02,,,,,,,,,,,,,,,,,,,netcoin,netcoin
273,2009/10/03,,,,,,,,,,,,,,,,,,,netcoin,netcoin
274,2009/10/04,,,,,,,,,,,,,,,,,,,netcoin,netcoin
275,2009/10/05,,,,,,,,,,,,,,,,,,,netcoin,netcoin
276,2009/10/06,,,,,,,,,,,,,,,,,,,netcoin,netcoin
277,2009/10/07,,,,,,,,,,,,,,,,,,,netcoin,netcoin
278,2009/10/08,,,,,,,,,,,,,,,,,,,netcoin,netcoin
279,2009/10/09,,,,,,,,,,,,,,,,,,,netcoin,netcoin
280,2009/10/10,,,,,,,,,,,,,,,,,,,netcoin,netcoin
281,2009/10/11,,,,,,,,,,,,,,,,,,,netcoin,netcoin
282,2009/10/12,,,,,,,,,,,,,,,,,,,netcoin,netcoin
283,2009/10/13,,,,,,,,,,,,,,,,,,,netcoin,netcoin
284,2009/10/14,,,,,,,,,,,,,,,,,,,netcoin,netcoin
285,2009/10/15,,,,,,,,,,,,,,,,,,,netcoin,netcoin
286,2009/10/16,,,,,,,,,,,,,,,,,,,netcoin,netcoin
287,2009/10/17,,,,,,,,,,,,,,,,,,,netcoin,netcoin
288,2009/10/18,,,,,,,,,,,,,,,,,,,netcoin,netcoin
289,2009/10/19,,,,,,,,,,,,,,,,,,,netcoin,netcoin
290,2009/10/20,,,,,,,,,,,,,,,,,,,netcoin,netcoin
291,2009/10/21,,,,,,,,,,,,,,,,,,,netcoin,netcoin
292,2009/10/22,,,,,,,,,,,,,,,,,,,netcoin,netcoin
293,2009/10/23,,,,,,,,,,,,,,,,,,,netcoin,netcoin
294,2009/10/24,,,,,,,,,,,,,,,,,,,netcoin,netcoin
295,2009/10/25,,,,,,,,,,,,,,,,,,,netcoin,netcoin
296,2009/10/26,,,,,,,,,,,,,,,,,,,netcoin,netcoin
297,2009/10/27,,,,,,,,,,,,,,,,,,,netcoin,netcoin
298,2009/10/28,,,,,,,,,,,,,,,,,,,netcoin,netcoin
299,2009/10/29,,,,,,,,,,,,,,,,,,,netcoin,netcoin
300,2009/10/30,,,,,,,,,,,,,,,,,,,netcoin,netcoin
301,2009/10/31,,,,,,,,,,,,,,,,,,,netcoin,netcoin
302,2009/11/01,,,,,,,,,,,,,,,,,,,netcoin,netcoin
303,2009/11/02,,,,,,,,,,,,,,,,,,,netcoin,netcoin
