,date,transactions,sent_addresses,block_size,median_transaction_value,confirmation_time,hashrate,market_cap,av_transaction_value,av_transaction_size,mining_profitability,active_addresses,fee_reward,send_usd,top_100_percent,difficulty,google_trends,median_transaction_size,tweets,full_name,coin
72,2009/03/16,,,,,,,,,,,,,,,,,,,bitstar,bitstar
73,2009/03/17,,,,,,,,,,,,,,,,,,,bitstar,bitstar
74,2009/03/18,,,,,,,,,,,,,,,,,,,bitstar,bitstar
75,2009/03/19,,,,,,,,,,,,,,,,,,,bitstar,bitstar
76,2009/03/20,,,,,,,,,,,,,,,,,,,bitstar,bitstar
77,2009/03/21,,,,,,,,,,,,,,,,,,,bitstar,bitstar
78,2009/03/22,,,,,,,,,,,,,,,,,,,bitstar,bitstar
79,2009/03/23,,,,,,,,,,,,,,,,,,,bitstar,bitstar
80,2009/03/24,,,,,,,,,,,,,,,,,,,bitstar,bitstar
81,2009/03/25,,,,,,,,,,,,,,,,,,,bitstar,bitstar
82,2009/03/26,,,,,,,,,,,,,,,,,,,bitstar,bitstar
83,2009/03/27,,,,,,,,,,,,,,,,,,,bitstar,bitstar
84,2009/03/28,,,,,,,,,,,,,,,,,,,bitstar,bitstar
85,2009/03/29,,,,,,,,,,,,,,,,,,,bitstar,bitstar
86,2009/03/30,,,,,,,,,,,,,,,,,,,bitstar,bitstar
87,2009/03/31,,,,,,,,,,,,,,,,,,,bitstar,bitstar
88,2009/04/01,,,,,,,,,,,,,,,,,,,bitstar,bitstar
89,2009/04/02,,,,,,,,,,,,,,,,,,,bitstar,bitstar
90,2009/04/03,,,,,,,,,,,,,,,,,,,bitstar,bitstar
91,2009/04/04,,,,,,,,,,,,,,,,,,,bitstar,bitstar
92,2009/04/05,,,,,,,,,,,,,,,,,,,bitstar,bitstar
93,2009/04/06,,,,,,,,,,,,,,,,,,,bitstar,bitstar
94,2009/04/07,,,,,,,,,,,,,,,,,,,bitstar,bitstar
95,2009/04/08,,,,,,,,,,,,,,,,,,,bitstar,bitstar
96,2009/04/09,,,,,,,,,,,,,,,,,,,bitstar,bitstar
97,2009/04/10,,,,,,,,,,,,,,,,,,,bitstar,bitstar
98,2009/04/11,,,,,,,,,,,,,,,,,,,bitstar,bitstar
99,2009/04/12,,,,,,,,,,,,,,,,,,,bitstar,bitstar
100,2009/04/13,,,,,,,,,,,,,,,,,,,bitstar,bitstar
101,2009/04/14,,,,,,,,,,,,,,,,,,,bitstar,bitstar
102,2009/04/15,,,,,,,,,,,,,,,,,,,bitstar,bitstar
103,2009/04/16,,,,,,,,,,,,,,,,,,,bitstar,bitstar
104,2009/04/17,,,,,,,,,,,,,,,,,,,bitstar,bitstar
105,2009/04/18,,,,,,,,,,,,,,,,,,,bitstar,bitstar
106,2009/04/19,,,,,,,,,,,,,,,,,,,bitstar,bitstar
107,2009/04/20,,,,,,,,,,,,,,,,,,,bitstar,bitstar
108,2009/04/21,,,,,,,,,,,,,,,,,,,bitstar,bitstar
