,date,market_cap,difficulty,active_addresses,sent_addresses,av_transaction_size,transactions,median_transaction_size,confirmation_time,top_100_percent,av_transaction_value,median_transaction_value,fee_reward,send_usd,google_trends,tweets,block_size,mining_profitability,hashrate,full_name,coin
75,2010/09/30,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
76,2010/10/01,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
77,2010/10/02,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
78,2010/10/03,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
79,2010/10/04,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
80,2010/10/05,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
81,2010/10/06,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
82,2010/10/07,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
83,2010/10/08,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
84,2010/10/09,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
85,2010/10/10,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
86,2010/10/11,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
87,2010/10/12,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
88,2010/10/13,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
89,2010/10/14,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
90,2010/10/15,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
91,2010/10/16,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
92,2010/10/17,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
93,2010/10/18,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
94,2010/10/19,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
95,2010/10/20,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
96,2010/10/21,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
97,2010/10/22,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
98,2010/10/23,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
99,2010/10/24,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
100,2010/10/25,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
101,2010/10/26,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
102,2010/10/27,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
103,2010/10/28,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
104,2010/10/29,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
105,2010/10/30,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
106,2010/10/31,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
107,2010/11/01,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
108,2010/11/02,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
109,2010/11/03,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
110,2010/11/04,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
111,2010/11/05,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
112,2010/11/06,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
113,2010/11/07,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
114,2010/11/08,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
115,2010/11/09,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
116,2010/11/10,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
117,2010/11/11,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
118,2010/11/12,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
119,2010/11/13,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
120,2010/11/14,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
121,2010/11/15,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
122,2010/11/16,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
123,2010/11/17,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
124,2010/11/18,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
125,2010/11/19,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
126,2010/11/20,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
127,2010/11/21,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
