,date,sent_addresses,transactions,confirmation_time,block_size,av_transaction_size,market_cap,median_transaction_size,mining_profitability,hashrate,send_usd,top_100_percent,median_transaction_value,google_trends,av_transaction_value,fee_reward,difficulty,tweets,active_addresses,full_name,coin
83,2009/04/02,,,,,,,,,,,,,,,,,,,iconomi,iconomi
84,2009/04/03,,,,,,,,,,,,,,,,,,,iconomi,iconomi
85,2009/04/04,,,,,,,,,,,,,,,,,,,iconomi,iconomi
86,2009/04/05,,,,,,,,,,,,,,,,,,,iconomi,iconomi
87,2009/04/06,,,,,,,,,,,,,,,,,,,iconomi,iconomi
88,2009/04/07,,,,,,,,,,,,,,,,,,,iconomi,iconomi
89,2009/04/08,,,,,,,,,,,,,,,,,,,iconomi,iconomi
90,2009/04/09,,,,,,,,,,,,,,,,,,,iconomi,iconomi
91,2009/04/10,,,,,,,,,,,,,,,,,,,iconomi,iconomi
92,2009/04/11,,,,,,,,,,,,,,,,,,,iconomi,iconomi
93,2009/04/12,,,,,,,,,,,,,,,,,,,iconomi,iconomi
94,2009/04/13,,,,,,,,,,,,,,,,,,,iconomi,iconomi
95,2009/04/14,,,,,,,,,,,,,,,,,,,iconomi,iconomi
96,2009/04/15,,,,,,,,,,,,,,,,,,,iconomi,iconomi
97,2009/04/16,,,,,,,,,,,,,,,,,,,iconomi,iconomi
98,2009/04/17,,,,,,,,,,,,,,,,,,,iconomi,iconomi
99,2009/04/18,,,,,,,,,,,,,,,,,,,iconomi,iconomi
100,2009/04/19,,,,,,,,,,,,,,,,,,,iconomi,iconomi
101,2009/04/20,,,,,,,,,,,,,,,,,,,iconomi,iconomi
102,2009/04/21,,,,,,,,,,,,,,,,,,,iconomi,iconomi
103,2009/04/22,,,,,,,,,,,,,,,,,,,iconomi,iconomi
104,2009/04/23,,,,,,,,,,,,,,,,,,,iconomi,iconomi
105,2009/04/24,,,,,,,,,,,,,,,,,,,iconomi,iconomi
106,2009/04/25,,,,,,,,,,,,,,,,,,,iconomi,iconomi
107,2009/04/26,,,,,,,,,,,,,,,,,,,iconomi,iconomi
108,2009/04/27,,,,,,,,,,,,,,,,,,,iconomi,iconomi
109,2009/04/28,,,,,,,,,,,,,,,,,,,iconomi,iconomi
110,2009/04/29,,,,,,,,,,,,,,,,,,,iconomi,iconomi
111,2009/04/30,,,,,,,,,,,,,,,,,,,iconomi,iconomi
112,2009/05/01,,,,,,,,,,,,,,,,,,,iconomi,iconomi
113,2009/05/02,,,,,,,,,,,,,,,,,,,iconomi,iconomi
114,2009/05/03,,,,,,,,,,,,,,,,,,,iconomi,iconomi
115,2009/05/04,,,,,,,,,,,,,,,,,,,iconomi,iconomi
116,2009/05/05,,,,,,,,,,,,,,,,,,,iconomi,iconomi
117,2009/05/06,,,,,,,,,,,,,,,,,,,iconomi,iconomi
118,2009/05/07,,,,,,,,,,,,,,,,,,,iconomi,iconomi
119,2009/05/08,,,,,,,,,,,,,,,,,,,iconomi,iconomi
120,2009/05/09,,,,,,,,,,,,,,,,,,,iconomi,iconomi
121,2009/05/10,,,,,,,,,,,,,,,,,,,iconomi,iconomi
122,2009/05/11,,,,,,,,,,,,,,,,,,,iconomi,iconomi
123,2009/05/12,,,,,,,,,,,,,,,,,,,iconomi,iconomi
124,2009/05/13,,,,,,,,,,,,,,,,,,,iconomi,iconomi
