,date,sent_addresses,difficulty,av_transaction_value,median_transaction_value,av_transaction_size,transactions,mining_profitability,send_usd,market_cap,active_addresses,confirmation_time,block_size,median_transaction_size,tweets,top_100_percent,hashrate,google_trends,fee_reward,full_name,coin
46,2014/01/23,161737,1188,1714,288.244,,134405,13637,230407429,56852879,,1.003,26575,,,,84416437247,6.445,,dogecoin,doge
47,2014/01/24,159056,1268,1205,355.067,,129611,13464,156181489,61054784,,0.989,26569,,,,92727767870,5.655,,dogecoin,doge
48,2014/01/25,139659,1262,2310,381.373,,111903,12670,258544118,62221109,,1.026,26175,,,,90398514456,4.995,,dogecoin,doge
49,2014/01/26,148730,1306,1974,356.879,,121651,11619,240177810,56361216,,1.026,25057,,,,92721149756,4.368,,dogecoin,doge
50,2014/01/27,147365,1217,2569,357.189,,121347,14845,311791640,52785573,,1.003,24977,,,,85643295202,3.72,,dogecoin,doge
51,2014/01/28,135192,1156,4158,276.591,,105078,12203,436900944,48493629,,1.056,24747,,,,82199905739,4.213,,dogecoin,doge
52,2014/01/29,159486,1035,1657,318.202,,131621,12292,218113673,53495953,,1.024,27064,,,,71689830164,3.998,,dogecoin,doge
53,2014/01/30,158144,1142,1543,350.031,,128877,14473,198832196,56769085,,0.951,25000,,,,83315415198,4.464,,dogecoin,doge
54,2014/01/31,153865,1288,1339,332.922,,124719,12209,167017563,59287357,,0.993,24742,,,,94166452612,4.86,,dogecoin,doge
55,2014/02/01,144397,1390,772.702,346.275,,117451,10782,90754570,58394817,,1,23739,,,,101829631808,4.191,,dogecoin,doge
56,2014/02/02,143616,1392,994.546,358.415,,117639,9914,116997380,53533244,,1.043,25788,,,,98783690876,4.119,,dogecoin,doge
57,2014/02/03,137545,1254,1614,366.905,,111852,10410,180554532,52745145,,1.024,24054,,,,88443383503,3.561,,dogecoin,doge
58,2014/02/04,152926,1210,2223,297.344,,125052,10115,278027675,49590745,,0.996,25970,,,,86708004536,4.532,,dogecoin,doge
59,2014/02/05,132256,1171,1787,268.541,,105693,10791,188919910,54216251,,1.017,23002,,,,83723231429,4.142,,dogecoin,doge
60,2014/02/06,138556,1210,1958,290.334,,110259,11320,215893159,56453973,,0.966,22787,,,,87268774495,3.658,,dogecoin,doge
61,2014/02/07,138874,1408,1318,241.114,,111766,8098,147287153,51392211,,1.01,22900,,,,103877187317,4.191,,dogecoin,doge
62,2014/02/08,126758,1349,1881,265.656,,100784,8398,189538452,51824557,,1,21304,,,,96161173323,3.707,,dogecoin,doge
63,2014/02/09,127915,1431,1747,331.698,,104106,7890,181899151,58522943,,1.021,24958,,,,103752574999,3.851,,dogecoin,doge
64,2014/02/10,139314,1476,1607,359.892,,111971,9166,179963570,63248582,,0.957,26547,,,,107167074167,4.265,,dogecoin,doge
65,2014/02/11,141262,1620,1799,405.37,,112163,8844,201784801,79620386,,1.026,29646,,,,118191030040,4.702,,dogecoin,doge
66,2014/02/12,140496,1713,2800,399.587,,110865,10311,310436143,87017256,,0.984,26611,,,,124700797089,5.743,,dogecoin,doge
67,2014/02/13,135188,1745,1091,319.811,,105509,8933,115068845,80118503,,1.007,25152,,,,125487649516,4.506,,dogecoin,doge
68,2014/02/14,116201,1408,1357,174.23,,88712,5406,120387453,74271352,,1.077,24196,,,,96431884692,4.288,,dogecoin,doge
69,2014/02/15,101963,1106,959.221,144.341,,79090,6246,75864803,72417476,,1.019,20235,,,,75929729883,3.636,,dogecoin,doge
70,2014/02/16,101584,1040,622.909,129.527,,78463,6831,48875321,69936152,,1.008,18650,,,,74554630741,3.246,,dogecoin,doge
71,2014/02/17,64558,974.758,703.937,105.34,,48248,7010,33963534,67951923,,1.051,20034,,,,68519734171,3.803,,dogecoin,doge
72,2014/02/18,44564,1044,865.817,46.295,,33281,6730,28815265,68859331,,0.957,18338,,,,75846956923,3.779,,dogecoin,doge
73,2014/02/19,55199,1120,1171,47.548,,38962,6056,45639983,68959450,,1.031,25419,,,,80567712042,3.125,,dogecoin,doge
74,2014/02/20,51193,1128,1371,48.795,,34292,5548,47019569,63591709,,1.023,25525,,,,80872479765,2.981,,dogecoin,doge
75,2014/02/21,56164,1085,1578,63.118,,37375,5535,58964577,60215483,,1.004,22867,,,,77784107693,2.956,,dogecoin,doge
76,2014/02/22,54996,1031,1666,82.532,,38011,6105,63323629,62487748,,1.003,15724,,,,73332825599,2.956,,dogecoin,doge
77,2014/02/23,65761,1013,1556,38.717,,46069,5972,71662237,62229114,,1.004,18107,,,,72629221587,2.907,,dogecoin,doge
78,2014/02/24,60017,1010,1630,65.696,,40587,5304,66140550,58584436,,1.005,22116,,,,72086788766,2.688,,dogecoin,doge
79,2014/02/25,57331,1058,1562,85.609,,39906,4291,62336852,48869403,,1.023,31533,,,,76480452573,3.417,,dogecoin,doge
80,2014/02/26,57025,1046,1180,47.968,,40267,5395,47510910,59526717,,0.987,14754,,,,74945854876,3.223,,dogecoin,doge
81,2014/02/27,55936,1076,1179,89.564,,39572,5376,46642233,61469014,,1.014,21297,,,,77581823723,2.809,,dogecoin,doge
82,2014/02/28,48467,1129,808.741,45.057,,31639,4850,25587749,58324334,,1.014,19573,,,,81461014446,3.028,,dogecoin,doge
83,2014/03/01,38535,1076,583.55,11.892,,23128,4925,13496349,56167381,,1.016,16999,,,,75614545286,2.442,,dogecoin,doge
84,2014/03/02,39428,1125,551.978,9.62,,23188,4399,12799271,53425649,,0.992,8693,,,,81427372839,2.379,,dogecoin,doge
85,2014/03/03,40375,1152,514.443,12.207,,24686,4411,12699544,55912482,,0.999,24598,,,,83178965203,2.69,,dogecoin,doge
86,2014/03/04,42738,1088,479.95,12.55,,26429,4867,12684609,58879258,,1.026,28872,,,,77176482762,2.279,,dogecoin,doge
87,2014/03/05,40312,1117,584.518,10.907,,23952,4617,14000376,58277527,,0.999,14413,,,,80466975787,2.226,,dogecoin,doge
88,2014/03/06,37723,1178,458.472,10.053,,23496,4296,10772258,57285587,,1.04,11239,,,,84230070300,1.986,,dogecoin,doge
89,2014/03/07,42404,1090,535.16,15.235,,27662,4531,14803588,53286421,,1.02,9904,,,,76078884327,2.188,,dogecoin,doge
90,2014/03/08,34932,1073,432.379,8.624,,20871,4204,9024172,49697283,,1.034,8708,,,,76129295020,2.028,,dogecoin,doge
91,2014/03/09,34371,1028,445.117,9.074,,20160,4405,8973555,49403523,,1.021,10069,,,,70515066372,2.149,,dogecoin,doge
92,2014/03/10,35768,1129,351.082,10.421,,21204,3747,7444347,47647351,,1.06,9623,,,,78706135136,2.126,,dogecoin,doge
93,2014/03/11,35820,1046,553.234,10.002,,20923,3647,11575313,43471935,,1.034,10437,,,,72640594883,2.072,,dogecoin,doge
94,2014/03/12,39042,1048,962.921,13.548,,22997,4188,22144285,53370462,,0.984,9820,,,,75111848388,1.873,,dogecoin,doge
95,2014/03/13,35801,1133,713.48,10.941,,20047,3950,14295409,51641252,,0.991,8636,,,,82725833361,1.687,,dogecoin,doge
96,2014/03/14,34631,1092,680.159,8.669,,19732,3962,13359532,51816577,,1.066,9247,,,,74145517958,1.573,,dogecoin,doge
