,date,sent_addresses,send_usd,difficulty,top_100_percent,block_size,median_transaction_value,av_transaction_size,median_transaction_size,confirmation_time,market_cap,hashrate,transactions,fee_reward,mining_profitability,active_addresses,google_trends,av_transaction_value,tweets,full_name,coin
79,2009/03/29,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
80,2009/03/30,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
81,2009/03/31,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
82,2009/04/01,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
83,2009/04/02,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
84,2009/04/03,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
85,2009/04/04,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
86,2009/04/05,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
87,2009/04/06,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
88,2009/04/07,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
89,2009/04/08,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
90,2009/04/09,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
91,2009/04/10,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
92,2009/04/11,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
93,2009/04/12,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
94,2009/04/13,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
95,2009/04/14,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
96,2009/04/15,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
97,2009/04/16,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
98,2009/04/17,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
99,2009/04/18,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
100,2009/04/19,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
101,2009/04/20,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
102,2009/04/21,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
103,2009/04/22,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
104,2009/04/23,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
105,2009/04/24,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
106,2009/04/25,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
107,2009/04/26,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
108,2009/04/27,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
109,2009/04/28,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
110,2009/04/29,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
111,2009/04/30,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
112,2009/05/01,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
113,2009/05/02,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
114,2009/05/03,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
115,2009/05/04,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
116,2009/05/05,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
117,2009/05/06,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
118,2009/05/07,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
119,2009/05/08,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
120,2009/05/09,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
