,block_size,transactions,hashrate,mining_profitability,median_transaction_size,send_usd,confirmation_time,av_transaction_value,median_transaction_value,active_addresses,fee_reward,top_100_percent,date,market_cap,av_transaction_size,sent_addresses,difficulty,tweets,google_trends,full_name,coin
81,,,,,,,,,,,,,2014/07/09,81202,,,,null,,execoin,execoin
82,,,,,,,,,,,,,2014/07/10,78075,,,,null,,execoin,execoin
83,,,,,,,,,,,,,2014/07/11,78983,,,,32,,execoin,execoin
84,,,,,,,,,,,,,2014/07/12,82831,,,,1,,execoin,execoin
85,,,,,,,,,,,,,2014/07/13,80761,,,,2,,execoin,execoin
86,,,,,,,,,,,,,2014/07/14,77388,,,,13,,execoin,execoin
87,,,,,,,,,,,,,2014/07/15,75997,,,,9,,execoin,execoin
88,,,,,,,,,,,,,2014/07/16,71617,,,,5,,execoin,execoin
89,,,,,,,,,,,,,2014/07/17,73217,,,,null,,execoin,execoin
90,,,,,,,,,,,,,2014/07/18,64860,,,,null,,execoin,execoin
91,,,,,,,,,,,,,2014/07/19,63554,,,,null,,execoin,execoin
92,,,,,,,,,,,,,2014/07/20,64037,,,,null,,execoin,execoin
93,,,,,,,,,,,,,2014/07/21,64684,,,,null,,execoin,execoin
94,,,,,,,,,,,,,2014/07/22,61593,,,,1,,execoin,execoin
95,,,,,,,,,,,,,2014/07/23,54421,,,,1,,execoin,execoin
96,,,,,,,,,,,,,2014/07/24,51933,,,,6,,execoin,execoin
97,,,,,,,,,,,,,2014/07/25,51802,,,,null,,execoin,execoin
98,,,,,,,,,,,,,2014/07/26,47460,,,,null,,execoin,execoin
99,,,,,,,,,,,,,2014/07/27,44503,,,,null,,execoin,execoin
100,,,,,,,,,,,,,2014/07/28,40435,,,,1,,execoin,execoin
101,,,,,,,,,,,,,2014/07/29,39280,,,,null,,execoin,execoin
102,,,,,,,,,,,,,2014/07/30,42387,,,,null,,execoin,execoin
103,,,,,,,,,,,,,2014/07/31,43580,,,,null,,execoin,execoin
104,,,,,,,,,,,,,2014/08/01,34115,,,,7,,execoin,execoin
105,,,,,,,,,,,,,2014/08/02,29098,,,,null,,execoin,execoin
106,,,,,,,,,,,,,2014/08/03,28902,,,,null,,execoin,execoin
107,,,,,,,,,,,,,2014/08/04,39144,,,,null,,execoin,execoin
