,transactions,fee_reward,sent_addresses,block_size,hashrate,median_transaction_size,av_transaction_value,date,tweets,top_100_percent,mining_profitability,difficulty,send_usd,av_transaction_size,google_trends,confirmation_time,median_transaction_value,active_addresses,market_cap,full_name,coin
75,,,,,,,,2014/10/04,7,,,,,,,,,,992739,viacoin,viacoin
76,,,,,,,,2014/10/05,16,,,,,,,,,,872412,viacoin,viacoin
77,,,,,,,,2014/10/06,18,,,,,,,,,,855886,viacoin,viacoin
78,,,,,,,,2014/10/07,21,,,,,,,,,,888634,viacoin,viacoin
79,,,,,,,,2014/10/08,23,,,,,,,,,,884706,viacoin,viacoin
80,,,,,,,,2014/10/09,15,,,,,,,,,,946934,viacoin,viacoin
81,,,,,,,,2014/10/10,41,,,,,,,,,,965346,viacoin,viacoin
82,,,,,,,,2014/10/11,11,,,,,,,,,,978493,viacoin,viacoin
83,,,,,,,,2014/10/12,2,,,,,,,,,,967276,viacoin,viacoin
84,,,,,,,,2014/10/13,13,,,,,,,,,,997723,viacoin,viacoin
85,,,,,,,,2014/10/14,43,,,,,,,,,,965427,viacoin,viacoin
86,,,,,,,,2014/10/15,27,,,,,,,,,,948026,viacoin,viacoin
87,,,,,,,,2014/10/16,25,,,,,,,,,,923886,viacoin,viacoin
88,,,,,,,,2014/10/17,9,,,,,,,,,,825291,viacoin,viacoin
89,,,,,,,,2014/10/18,2,,,,,,,,,,786483,viacoin,viacoin
90,,,,,,,,2014/10/19,3,,,,,,,,,,801879,viacoin,viacoin
91,,,,,,,,2014/10/20,3,,,,,,,,,,785601,viacoin,viacoin
92,,,,,,,,2014/10/21,3,,,,,,,,,,731994,viacoin,viacoin
93,,,,,,,,2014/10/22,8,,,,,,,,,,640430,viacoin,viacoin
94,,,,,,,,2014/10/23,9,,,,,,,,,,623917,viacoin,viacoin
95,,,,,,,,2014/10/24,5,,,,,,,,,,601382,viacoin,viacoin
96,,,,,,,,2014/10/25,6,,,,,,,,,,565368,viacoin,viacoin
97,,,,,,,,2014/10/26,14,,,,,,,,,,527753,viacoin,viacoin
98,,,,,,,,2014/10/27,9,,,,,,,,,,506425,viacoin,viacoin
99,,,,,,,,2014/10/28,15,,,,,,,,,,479378,viacoin,viacoin
100,,,,,,,,2014/10/29,7,,,,,,,,,,437229,viacoin,viacoin
101,,,,,,,,2014/10/30,66,,,,,,,,,,558207,viacoin,viacoin
102,,,,,,,,2014/10/31,54,,,,,,,,,,1014585,viacoin,viacoin
103,,,,,,,,2014/11/01,30,,,,,,,,,,704836,viacoin,viacoin
