,transactions,difficulty,sent_addresses,hashrate,av_transaction_size,mining_profitability,send_usd,median_transaction_size,confirmation_time,av_transaction_value,median_transaction_value,active_addresses,fee_reward,top_100_percent,date,tweets,block_size,google_trends,market_cap,full_name,coin
73,,,,,,,,,,,,,,,2014/06/21,null,,,80389,einsteinium,einsteinium
74,,,,,,,,,,,,,,,2014/06/22,null,,,107374,einsteinium,einsteinium
75,,,,,,,,,,,,,,,2014/06/23,null,,,107341,einsteinium,einsteinium
76,,,,,,,,,,,,,,,2014/06/24,null,,,97798,einsteinium,einsteinium
77,,,,,,,,,,,,,,,2014/06/25,null,,,93809,einsteinium,einsteinium
78,,,,,,,,,,,,,,,2014/06/26,null,,,94631,einsteinium,einsteinium
79,,,,,,,,,,,,,,,2014/06/27,2,,,98100,einsteinium,einsteinium
80,,,,,,,,,,,,,,,2014/06/28,1,,,101163,einsteinium,einsteinium
81,,,,,,,,,,,,,,,2014/06/29,2,,,90425,einsteinium,einsteinium
82,,,,,,,,,,,,,,,2014/06/30,null,,,84446,einsteinium,einsteinium
83,,,,,,,,,,,,,,,2014/07/01,null,,,90973,einsteinium,einsteinium
84,,,,,,,,,,,,,,,2014/07/02,null,,,103006,einsteinium,einsteinium
85,,,,,,,,,,,,,,,2014/07/03,3,,,149974,einsteinium,einsteinium
86,,,,,,,,,,,,,,,2014/07/04,null,,,148020,einsteinium,einsteinium
87,,,,,,,,,,,,,,,2014/07/05,null,,,120784,einsteinium,einsteinium
88,,,,,,,,,,,,,,,2014/07/06,null,,,102770,einsteinium,einsteinium
89,,,,,,,,,,,,,,,2014/07/07,null,,,88328,einsteinium,einsteinium
90,,,,,,,,,,,,,,,2014/07/08,null,,,79436,einsteinium,einsteinium
91,,,,,,,,,,,,,,,2014/07/09,null,,,72809,einsteinium,einsteinium
92,,,,,,,,,,,,,,,2014/07/10,null,,,69507,einsteinium,einsteinium
93,,,,,,,,,,,,,,,2014/07/11,1,,,64282,einsteinium,einsteinium
94,,,,,,,,,,,,,,,2014/07/12,2,,,61149,einsteinium,einsteinium
95,,,,,,,,,,,,,,,2014/07/13,1,,,null,einsteinium,einsteinium
96,,,,,,,,,,,,,,,2014/07/14,null,,,64206,einsteinium,einsteinium
97,,,,,,,,,,,,,,,2014/07/15,null,,,62920,einsteinium,einsteinium
98,,,,,,,,,,,,,,,2014/07/16,1,,,62046,einsteinium,einsteinium
99,,,,,,,,,,,,,,,2014/07/17,1,,,64287,einsteinium,einsteinium
100,,,,,,,,,,,,,,,2014/07/18,null,,,60899,einsteinium,einsteinium
101,,,,,,,,,,,,,,,2014/07/19,1,,,59205,einsteinium,einsteinium
102,,,,,,,,,,,,,,,2014/07/20,3,,,null,einsteinium,einsteinium
103,,,,,,,,,,,,,,,2014/07/21,1,,,52369,einsteinium,einsteinium
104,,,,,,,,,,,,,,,2014/07/22,null,,,null,einsteinium,einsteinium
105,,,,,,,,,,,,,,,2014/07/23,1,,,48409,einsteinium,einsteinium
106,,,,,,,,,,,,,,,2014/07/24,11,,,44928,einsteinium,einsteinium
107,,,,,,,,,,,,,,,2014/07/25,null,,,44727,einsteinium,einsteinium
108,,,,,,,,,,,,,,,2014/07/26,1,,,45483,einsteinium,einsteinium
109,,,,,,,,,,,,,,,2014/07/27,1,,,43203,einsteinium,einsteinium
110,,,,,,,,,,,,,,,2014/07/28,null,,,null,einsteinium,einsteinium
111,,,,,,,,,,,,,,,2014/07/29,1,,,37670,einsteinium,einsteinium
112,,,,,,,,,,,,,,,2014/07/30,5,,,24791,einsteinium,einsteinium
113,,,,,,,,,,,,,,,2014/07/31,2,,,23820,einsteinium,einsteinium
114,,,,,,,,,,,,,,,2014/08/01,10,,,20632,einsteinium,einsteinium
115,,,,,,,,,,,,,,,2014/08/02,3,,,17129,einsteinium,einsteinium
116,,,,,,,,,,,,,,,2014/08/03,3,,,20282,einsteinium,einsteinium
117,,,,,,,,,,,,,,,2014/08/04,3,,,26257,einsteinium,einsteinium
118,,,,,,,,,,,,,,,2014/08/05,4,,,25428,einsteinium,einsteinium
119,,,,,,,,,,,,,,,2014/08/06,2,,,27615,einsteinium,einsteinium
120,,,,,,,,,,,,,,,2014/08/07,null,,,26688,einsteinium,einsteinium
121,,,,,,,,,,,,,,,2014/08/08,1,,,25192,einsteinium,einsteinium
122,,,,,,,,,,,,,,,2014/08/09,null,,,28896,einsteinium,einsteinium
123,,,,,,,,,,,,,,,2014/08/10,null,,,null,einsteinium,einsteinium
124,,,,,,,,,,,,,,,2014/08/11,null,,,null,einsteinium,einsteinium
125,,,,,,,,,,,,,,,2014/08/12,1,,,null,einsteinium,einsteinium
126,,,,,,,,,,,,,,,2014/08/13,null,,,null,einsteinium,einsteinium
127,,,,,,,,,,,,,,,2014/08/14,2,,,null,einsteinium,einsteinium
128,,,,,,,,,,,,,,,2014/08/15,null,,,null,einsteinium,einsteinium
129,,,,,,,,,,,,,,,2014/08/16,null,,,null,einsteinium,einsteinium
130,,,,,,,,,,,,,,,2014/08/17,4,,,null,einsteinium,einsteinium
131,,,,,,,,,,,,,,,2014/08/18,2,,,null,einsteinium,einsteinium
132,,,,,,,,,,,,,,,2014/08/19,null,,,null,einsteinium,einsteinium
133,,,,,,,,,,,,,,,2014/08/20,null,,,null,einsteinium,einsteinium
134,,,,,,,,,,,,,,,2014/08/21,null,,,null,einsteinium,einsteinium
135,,,,,,,,,,,,,,,2014/08/22,null,,,null,einsteinium,einsteinium
136,,,,,,,,,,,,,,,2014/08/23,null,,,null,einsteinium,einsteinium
137,,,,,,,,,,,,,,,2014/08/24,null,,,null,einsteinium,einsteinium
138,,,,,,,,,,,,,,,2014/08/25,null,,,null,einsteinium,einsteinium
139,,,,,,,,,,,,,,,2014/08/26,5,,,null,einsteinium,einsteinium
140,,,,,,,,,,,,,,,2014/08/27,null,,,null,einsteinium,einsteinium
141,,,,,,,,,,,,,,,2014/08/28,null,,,null,einsteinium,einsteinium
142,,,,,,,,,,,,,,,2014/08/29,null,,,null,einsteinium,einsteinium
143,,,,,,,,,,,,,,,2014/08/30,null,,,null,einsteinium,einsteinium
144,,,,,,,,,,,,,,,2014/08/31,1,,,23886,einsteinium,einsteinium
145,,,,,,,,,,,,,,,2014/09/01,1,,,18701,einsteinium,einsteinium
146,,,,,,,,,,,,,,,2014/09/02,1,,,null,einsteinium,einsteinium
147,,,,,,,,,,,,,,,2014/09/03,null,,,21340,einsteinium,einsteinium
148,,,,,,,,,,,,,,,2014/09/04,null,,,,einsteinium,einsteinium
149,,,,,,,,,,,,,,,2014/09/05,3,,,,einsteinium,einsteinium
150,,,,,,,,,,,,,,,2014/09/06,4,,,,einsteinium,einsteinium
151,,,,,,,,,,,,,,,2014/09/07,7,,,,einsteinium,einsteinium
152,,,,,,,,,,,,,,,2014/09/08,3,,,,einsteinium,einsteinium
